Game Week,Home Team,Away Team,Score,Attendance,Venue,Referee,Date,URL
J1,Sassuolo,Napoli,0–2,"19,106",Mapei Stadium - Città del Tricolore,Giovanni Ayroldi,2025-08-23,https://fbref.com/en/matches/07e76b58/Sassuolo-Napoli-August-23-2025-Serie-A
J1,Genoa,Lecce,0–0,"32,576",Stadio Comunale Luigi Ferraris,Davide Massa,2025-08-23,https://fbref.com/en/matches/87b7c76e/Genoa-Lecce-August-23-2025-Serie-A
J1,Roma,Bologna,1–0,"63,681",Stadio Olimpico,Luca Zufferli,2025-08-23,https://fbref.com/en/matches/1d23e909/Roma-Bologna-August-23-2025-Serie-A
J1,Milan,Cremonese,1–2,"75,011",Stadio Giuseppe Meazza,Giuseppe Collu,2025-08-23,https://fbref.com/en/matches/f12e0a33/Milan-Cremonese-August-23-2025-Serie-A
J1,Como,Lazio,2–0,"12,055",Stadio Giuseppe Sinigaglia,Gianluca Manganiello,2025-08-24,https://fbref.com/en/matches/7d1f5f92/Como-Lazio-August-24-2025-Serie-A
J1,Cagliari,Fiorentina,1–1,"15,723",Unipol Domus,Simone Sozza,2025-08-24,https://fbref.com/en/matches/87bdf9a2/Cagliari-Fiorentina-August-24-2025-Serie-A
J1,Atalanta,Pisa,1–1,"22,235",New Balance Arena,Alberto Arena,2025-08-24,https://fbref.com/en/matches/3f9d236d/Atalanta-Pisa-August-24-2025-Serie-A
J1,Juventus,Parma,2–0,"41,251",Allianz Stadium,Matteo Marcenaro,2025-08-24,https://fbref.com/en/matches/c81450f5/Juventus-Parma-August-24-2025-Serie-A
J1,Udinese,Hellas Verona,1–1,"20,706",Bluenergy Stadium,Paride Tremolada,2025-08-25,https://fbref.com/en/matches/daabb1e7/Udinese-Hellas-Verona-August-25-2025-Serie-A
J1,Inter,Torino,5–0,"72,332",Stadio Giuseppe Meazza,Federico La Penna,2025-08-25,https://fbref.com/en/matches/e31fc71f/Internazionale-Torino-August-25-2025-Serie-A
J2,Cremonese,Sassuolo,3–2,"10,300",Stadio Giovanni Zini,Marco Guida,2025-08-29,https://fbref.com/en/matches/a1a06adb/Cremonese-Sassuolo-August-29-2025-Serie-A
J2,Lecce,Milan,0–2,"28,227",Stadio Comunale Ettore Giardiniero,Livio Marinelli,2025-08-29,https://fbref.com/en/matches/52bcfb92/Lecce-Milan-August-29-2025-Serie-A
J2,Parma,Atalanta,1–1,"17,212",Stadio Ennio Tardini,Maurizio Mariani,2025-08-30,https://fbref.com/en/matches/f480af1b/Parma-Atalanta-August-30-2025-Serie-A
J2,Bologna,Como,1–0,"28,369",Stadio Renato Dall'Ara,Daniele Doveri,2025-08-30,https://fbref.com/en/matches/3915059e/Bologna-Como-August-30-2025-Serie-A
