Game Week,Home Team,Away Team,Score,Attendance,Venue,Referee,Date,URL
J1,Zrinjski Mostar,Red Imps,,,Stadion Bijeli Brijeg,,2025-10-02,https://fbref.com/en/stathead/matchup/teams/2d3c1b6d/2a6cfcb2/Lincoln-Red-Imps-FC-vs-Zrinjski-Mostar-History
J1,Lech Poznań,Rapid Wien,,,ENEA Stadion,,2025-10-02,https://fbref.com/en/stathead/matchup/teams/fdba14df/912e4c40/Lech-Poznan-vs-Rapid-Wien-History
J1,Jagiellonia,Ħamrun Spartans FC,,,Chorten Arena,,2025-10-02,https://fbref.com/en/stathead/matchup/teams/af973273/4f7b798d/Hamrun-Spartans-FC-vs-Jagiellonia-History
J1,Rayo Vallecano,Shkëndija 79,,,Campo de Fútbol de Vallecas,,2025-10-02,https://fbref.com/en/stathead/matchup/teams/c480c810/98e8af82/FK-Shkendija-vs-Rayo-Vallecano-History
J1,Lausanne-Sport,Breiðablik,,,Stade de la Tuilière,,2025-10-02,https://fbref.com/en/stathead/matchup/teams/4a29fb1c/2864c5a0/Breidablik-UBK-vs-Lausanne-Sport-History
J1,Dynamo Kyiv,Crystal Palace,,,Motor Lublin Arena,,2025-10-02,https://fbref.com/en/stathead/matchup/teams/c734e22f/47c64c55/Dynamo-Kyiv-vs-Crystal-Palace-History
J1,AC Omonia,Mainz 05,,,Neo GSP,,2025-10-02,https://fbref.com/en/stathead/matchup/teams/a224b06a/15e031af/Mainz-05-vs-AC-Omonia-History
J1,KuPS,KF Drita,,,Tammelan Stadion,,2025-10-02,https://fbref.com/en/stathead/matchup/teams/e6f63673/77b23ba3/KuPS-vs-KF-Drita-History
J1,Shelbourne FC,Häcken,,,Tallaght Stadium,,2025-10-02,https://fbref.com/en/stathead/matchup/teams/a62918f6/8774e267/Shelbourne-FC-vs-BK-Hacken-History
J1,Aberdeen,Shakhtar,,,Pittodrie Stadium,,2025-10-02,https://fbref.com/en/stathead/matchup/teams/e89d5a28/8bbab7cf/Shakhtar-Donetsk-vs-Aberdeen-History
J1,FC Noah,Rijeka,,,Vazgen Sargsyan anvan Hanrapetakan Marza...,,2025-10-02,https://fbref.com/en/stathead/matchup/teams/f2067074/25dbe099/FC-Noah-vs-Rijeka-History
J1,Fiorentina,Sigma Olomouc,,,Stadio Artemio Franchi,,2025-10-02,https://fbref.com/en/stathead/matchup/teams/421387cf/41c6978d/Fiorentina-vs-Sigma-Olomouc-History
J1,Legia Warsaw,Samsunspor,,,Stadion Miejski Legii Warszawa im. Marsz...,,2025-10-02,https://fbref.com/en/stathead/matchup/teams/a73408a7/77356e9e/Legia-Warsaw-vs-Samsunspor-History
J1,Sparta Prague,Shamrock Rov,,,epet Arena,,2025-10-02,https://fbref.com/en/stathead/matchup/teams/f082c4f3/ecb862be/Shamrock-Rovers-vs-Sparta-Prague-History
J1,Raków,CS U Craiova,,,ArcelorMittal Park,,2025-10-02,https://fbref.com/en/stathead/matchup/teams/e0b3aa47/1eebf7c3/Rakow-Czestochowa-vs-CS-Universitatea-Craiova-History
J1,Slovan Bratislava,Strasbourg,,,Štadión Tehelné pole,,2025-10-02,https://fbref.com/en/stathead/matchup/teams/c0d3eab4/ae7f2f70/Strasbourg-vs-Slovan-Bratislava-History
J1,NK Celje,AEK Athens,,,Stadion Z'dežele,,2025-10-02,https://fbref.com/en/stathead/matchup/teams/d5348c80/c56c28b0/AEK-Athens-vs-NK-Celje-History
J1,AÉK Lárnaka,AZ Alkmaar,,,AEK Arena - George Karapatakis,,2025-10-02,https://fbref.com/en/stathead/matchup/teams/3986b791/01689b1a/AZ-Alkmaar-vs-AEK-Larnaca-FC-History
J2,Breiðablik,KuPS,,,Laugardalsvöllur,,2025-10-23,https://fbref.com/en/stathead/matchup/teams/e6f63673/4a29fb1c/KuPS-vs-Breidablik-UBK-History
J2,Häcken,Rayo Vallecano,,,Salon Urheilupuisto Stadion,,2025-10-23,https://fbref.com/en/stathead/matchup/teams/98e8af82/8774e267/Rayo-Vallecano-vs-BK-Hacken-History
J2,Strasbourg,Jagiellonia,,,Stade de la Meinau,,2025-10-23,https://fbref.com/en/stathead/matchup/teams/c0d3eab4/4f7b798d/Strasbourg-vs-Jagiellonia-History
J2,KF Drita,AC Omonia,,,Stadiumi Fadil Vokrri,,2025-10-23,https://fbref.com/en/stathead/matchup/teams/77b23ba3/15e031af/KF-Drita-vs-AC-Omonia-History
J2,Rijeka,Sparta Prague,,,Stadion HNK Rijeka,,2025-10-23,https://fbref.com/en/stathead/matchup/teams/ecb862be/25dbe099/Sparta-Prague-vs-Rijeka-History
J2,Shkëndija 79,Shelbourne FC,,,Nationala Arena Toše Proeski,,2025-10-23,https://fbref.com/en/stathead/matchup/teams/c480c810/a62918f6/FK-Shkendija-vs-Shelbourne-FC-History
J2,Rapid Wien,Fiorentina,,,Allianz Stadion,,2025-10-23,https://fbref.com/en/stathead/matchup/teams/912e4c40/421387cf/Rapid-Wien-vs-Fiorentina-History
J2,Shakhtar,Legia Warsaw,,,Stadion Miejski im. Henryka Reymana,,2025-10-23,https://fbref.com/en/stathead/matchup/teams/e89d5a28/a73408a7/Shakhtar-Donetsk-vs-Legia-Warsaw-History
J2,AEK Athens,Aberdeen,,,Agia Sophia Stadium,,2025-10-23,https://fbref.com/en/stathead/matchup/teams/d5348c80/8bbab7cf/AEK-Athens-vs-Aberdeen-History
J2,Shamrock Rov,NK Celje,,,Tallaght Stadium,,2025-10-23,https://fbref.com/en/stathead/matchup/teams/f082c4f3/c56c28b0/Shamrock-Rovers-vs-NK-Celje-History
J2,Crystal Palace,AÉK Lárnaka,,,Selhurst Park,,2025-10-23,https://fbref.com/en/stathead/matchup/teams/47c64c55/01689b1a/Crystal-Palace-vs-AEK-Larnaca-FC-History
J2,Sigma Olomouc,Raków,,,Andrův stadion,,2025-10-23,https://fbref.com/en/stathead/matchup/teams/e0b3aa47/41c6978d/Rakow-Czestochowa-vs-Sigma-Olomouc-History
J2,AZ Alkmaar,Slovan Bratislava,,,AFAS Stadion,,2025-10-23,https://fbref.com/en/stathead/matchup/teams/ae7f2f70/3986b791/Slovan-Bratislava-vs-AZ-Alkmaar-History
J2,Red Imps,Lech Poznań,,,Europa Point Stadium,,2025-10-23,https://fbref.com/en/stathead/matchup/teams/fdba14df/2d3c1b6d/Lech-Poznan-vs-Lincoln-Red-Imps-FC-History
J2,Ħamrun Spartans FC,Lausanne-Sport,,,Ta'Qali National Stadium,,2025-10-23,https://fbref.com/en/stathead/matchup/teams/af973273/2864c5a0/Hamrun-Spartans-FC-vs-Lausanne-Sport-History
J2,Mainz 05,Zrinjski Mostar,,,Mewa Arena,,2025-10-23,https://fbref.com/en/stathead/matchup/teams/a224b06a/2a6cfcb2/Mainz-05-vs-Zrinjski-Mostar-History
J2,CS U Craiova,FC Noah,,,Stadionul Ion Oblemenco,,2025-10-23,https://fbref.com/en/stathead/matchup/teams/f2067074/1eebf7c3/FC-Noah-vs-CS-Universitatea-Craiova-History
J2,Samsunspor,Dynamo Kyiv,,,Yeni 19 Mayıs Stadyumu,,2025-10-23,https://fbref.com/en/stathead/matchup/teams/c734e22f/77356e9e/Dynamo-Kyiv-vs-Samsunspor-History
J3,Mainz 05,Fiorentina,,,Mewa Arena,,2025-11-06,https://fbref.com/en/stathead/matchup/teams/a224b06a/421387cf/Mainz-05-vs-Fiorentina-History
J3,NK Celje,Legia Warsaw,,,Stadion Z'dežele,,2025-11-06,https://fbref.com/en/stathead/matchup/teams/c56c28b0/a73408a7/NK-Celje-vs-Legia-Warsaw-History
J3,Sparta Prague,Raków,,,epet Arena,,2025-11-06,https://fbref.com/en/stathead/matchup/teams/ecb862be/e0b3aa47/Sparta-Prague-vs-Rakow-Czestochowa-History
J3,Shakhtar,Breiðablik,,,Stadion Miejski im. Henryka Reymana,,2025-11-06,https://fbref.com/en/stathead/matchup/teams/e89d5a28/4a29fb1c/Shakhtar-Donetsk-vs-Breidablik-UBK-History
J3,AEK Athens,Shamrock Rov,,,Agia Sophia Stadium,,2025-11-06,https://fbref.com/en/stathead/matchup/teams/f082c4f3/d5348c80/Shamrock-Rovers-vs-AEK-Athens-History
J3,KuPS,Slovan Bratislava,,,Tammelan Stadion,,2025-11-06,https://fbref.com/en/stathead/matchup/teams/e6f63673/ae7f2f70/KuPS-vs-Slovan-Bratislava-History
J3,AÉK Lárnaka,Aberdeen,,,AEK Arena - George Karapatakis,,2025-11-06,https://fbref.com/en/stathead/matchup/teams/8bbab7cf/01689b1a/Aberdeen-vs-AEK-Larnaca-FC-History
J3,Crystal Palace,AZ Alkmaar,,,Selhurst Park,,2025-11-06,https://fbref.com/en/stathead/matchup/teams/47c64c55/3986b791/Crystal-Palace-vs-AZ-Alkmaar-History
J3,Shelbourne FC,KF Drita,,,Tallaght Stadium,,2025-11-06,https://fbref.com/en/stathead/matchup/teams/a62918f6/77b23ba3/Shelbourne-FC-vs-KF-Drita-History
J3,Samsunspor,Ħamrun Spartans FC,,,Yeni 19 Mayıs Stadyumu,,2025-11-06,https://fbref.com/en/stathead/matchup/teams/af973273/77356e9e/Hamrun-Spartans-FC-vs-Samsunspor-History
J3,Rayo Vallecano,Lech Poznań,,,Campo de Fútbol de Vallecas,,2025-11-06,https://fbref.com/en/stathead/matchup/teams/fdba14df/98e8af82/Lech-Poznan-vs-Rayo-Vallecano-History
J3,Red Imps,Rijeka,,,Europa Point Stadium,,2025-11-06,https://fbref.com/en/stathead/matchup/teams/2d3c1b6d/25dbe099/Lincoln-Red-Imps-FC-vs-Rijeka-History
J3,Rapid Wien,CS U Craiova,,,Allianz Stadion,,2025-11-06,https://fbref.com/en/stathead/matchup/teams/912e4c40/1eebf7c3/Rapid-Wien-vs-CS-Universitatea-Craiova-History
J3,Häcken,Strasbourg,,,Salon Urheilupuisto Stadion,,2025-11-06,https://fbref.com/en/stathead/matchup/teams/c0d3eab4/8774e267/Strasbourg-vs-BK-Hacken-History
J3,Lausanne-Sport,AC Omonia,,,Stade de la Tuilière,,2025-11-06,https://fbref.com/en/stathead/matchup/teams/2864c5a0/15e031af/Lausanne-Sport-vs-AC-Omonia-History
J3,Shkëndija 79,Jagiellonia,,,Nationala Arena Toše Proeski,,2025-11-06,https://fbref.com/en/stathead/matchup/teams/c480c810/4f7b798d/FK-Shkendija-vs-Jagiellonia-History
J3,FC Noah,Sigma Olomouc,,,Vazgen Sargsyan anvan Hanrapetakan Marza...,,2025-11-06,https://fbref.com/en/stathead/matchup/teams/f2067074/41c6978d/FC-Noah-vs-Sigma-Olomouc-History
