Game Week,Home Team,Away Team,Score,Attendance,Venue,Referee,Date,URL
J1,Midtjylland,Sturm Graz,2–0,"8,331",MCH Arena,Orel Grinfeeld,2025-09-24,https://fbref.com/en/matches/be9f937a/Midtjylland-Sturm-Graz-September-24-2025-Europa-League
J1,PAOK,Maccabi Tel Aviv,0–0,"19,667",Stadio Toumbas,Sven Jablonski,2025-09-24,https://fbref.com/en/matches/bb23e3d0/PAOK-Maccabi-Tel-Aviv-September-24-2025-Europa-League
J1,Braga,Feyenoord,1–0,"12,769",Estádio Municipal de Braga,Nikola Dabanović,2025-09-24,https://fbref.com/en/matches/a4b30817/Braga-Feyenoord-September-24-2025-Europa-League
J1,Freiburg,Basel,2–1,"34,300",Europa-Park Stadion,Luís Godinho,2025-09-24,https://fbref.com/en/matches/a870daef/Freiburg-Basel-September-24-2025-Europa-League
J1,Red Star,Celtic,1–1,"35,721",Stadion Rajko Mitić,Radu Petrescu,2025-09-24,https://fbref.com/en/matches/fd7cd6d6/Red-Star-Celtic-September-24-2025-Europa-League
J1,Nice,Roma,1–2,"23,089",Allianz Riviera,Guillermo Cuadra,2025-09-24,https://fbref.com/en/matches/ea92bc37/Nice-Roma-September-24-2025-Europa-League
J1,Betis,Nott'ham Forest,2–2,"57,257",Estadio La Cartuja de Sevilla,Sascha Stegemann,2025-09-24,https://fbref.com/en/matches/d3b1ee9e/Real-Betis-Nottingham-Forest-September-24-2025-Europa-League
J1,Malmö,Ludogorets,1–2,"11,478",Eleda Stadion,Manfredas Lukjančukas,2025-09-24,https://fbref.com/en/matches/cee8ef1d/Malmo-Ludogorets-Razgrad-September-24-2025-Europa-League
J1,Dinamo Zagreb,Fenerbahçe,3–1,"13,926",Stadion Maksimir,Jérôme Brisard,2025-09-24,https://fbref.com/en/matches/c0916cea/Dinamo-Zagreb-Fenerbahce-September-24-2025-Europa-League
J1,Lille,Brann,2–1,"17,529",Decathlon Arena - Stade Pierre-Mauroy,Allard Lindhout,2025-09-25,https://fbref.com/en/matches/05255be9/Lille-Brann-September-25-2025-Europa-League
J1,Go Ahead Eag,FCSB,0–1,"9,578",De Adelaarshorst,Kristo Tohver,2025-09-25,https://fbref.com/en/matches/1afd11a0/Go-Ahead-Eagles-FCSB-September-25-2025-Europa-League
J1,Aston Villa,Bologna,1–0,"30,909",Villa Park,Jesús Gil,2025-09-25,https://fbref.com/en/matches/ab4f0e4f/Aston-Villa-Bologna-September-25-2025-Europa-League
J1,Rangers,Genk,0–1,"37,898",Ibrox Stadium,Matej Jug,2025-09-25,https://fbref.com/en/matches/fed4f7bf/Rangers-Genk-September-25-2025-Europa-League
J1,Stuttgart,Celta Vigo,2–1,"58,000",MHPArena,Nick Walsh,2025-09-25,https://fbref.com/en/matches/1484bea8/Stuttgart-Celta-Vigo-September-25-2025-Europa-League
J1,Young Boys,Panathinaikos,1–4,"20,023",Stadion Wankdorf,Ricardo de Burgos,2025-09-25,https://fbref.com/en/matches/c70e6a22/Young-Boys-Panathinaikos-September-25-2025-Europa-League
J1,RB Salzburg,Porto,0–1,"9,993",Red Bull Arena,Vassilis Fotias,2025-09-25,https://fbref.com/en/matches/b80923c0/Red-Bull-Salzburg-Porto-September-25-2025-Europa-League
J1,Ferencváros,Viktoria Plzeň,1–1,"16,117",Groupama Arena,Sander van der Eijk,2025-09-25,https://fbref.com/en/matches/6d9cecd0/Ferencvaros-Viktoria-Plzen-September-25-2025-Europa-League
J1,Utrecht,Lyon,0–1,"22,083",Stadion Galgenwaard,Horațiu Fesnic,2025-09-25,https://fbref.com/en/matches/66181656/Utrecht-Lyon-September-25-2025-Europa-League
J2,Celtic,Braga,,,Celtic Park,,2025-10-02,https://fbref.com/en/stathead/matchup/teams/b81aa4fa/69d84c29/Celtic-vs-Braga-History
J2,Bologna,Freiburg,,,Stadio Renato Dall'Ara,,2025-10-02,https://fbref.com/en/stathead/matchup/teams/a486e511/1d8099f8/Freiburg-vs-Bologna-History
J2,Roma,Lille,,,Stadio Olimpico,,2025-10-02,https://fbref.com/en/stathead/matchup/teams/cf74a709/cb188c0c/Roma-vs-Lille-History
J2,Viktoria Plzeň,Malmö,,,Doosan Arena,,2025-10-02,https://fbref.com/en/stathead/matchup/teams/f3d8c8b9/02cd81bf/Malmo-vs-Viktoria-Plzen-History
J2,Brann,Utrecht,,,Brann Stadion,,2025-10-02,https://fbref.com/en/stathead/matchup/teams/aeae4fe1/2a428619/Brann-vs-Utrecht-History
J2,Panathinaikos,Go Ahead Eag,,,Olympiako Stadio Spyros Louis,,2025-10-02,https://fbref.com/en/stathead/matchup/teams/f3a5726c/e33d6108/Panathinaikos-vs-Go-Ahead-Eagles-History
J2,Ludogorets,Betis,,,Huvepharma Arena,,2025-10-02,https://fbref.com/en/stathead/matchup/teams/fc536746/488c6ba1/Real-Betis-vs-Ludogorets-Razgrad-History
J2,Fenerbahçe,Nice,,,Ülker Stadyumu Fenerbahçe Şükrü Saracoğl...,,2025-10-02,https://fbref.com/en/stathead/matchup/teams/ae1e2d7d/132ebc33/Fenerbahce-vs-Nice-History
J2,FCSB,Young Boys,,,Arena Naţională,,2025-10-02,https://fbref.com/en/stathead/matchup/teams/aed59852/4b682260/FCSB-vs-Young-Boys-History
J2,Porto,Red Star,,,Estádio do Dragão,,2025-10-02,https://fbref.com/en/stathead/matchup/teams/5e876ee6/099c6eb5/Porto-vs-Red-Star-History
J2,Nott'ham Forest,Midtjylland,,,The City Ground,,2025-10-02,https://fbref.com/en/stathead/matchup/teams/e4a775cb/3c4fb635/Nottingham-Forest-vs-Midtjylland-History
J2,Sturm Graz,Rangers,,,Merkur Arena,,2025-10-02,https://fbref.com/en/stathead/matchup/teams/86b7acd2/3f4fe568/Rangers-vs-Sturm-Graz-History
J2,Celta Vigo,PAOK,,,Estadio Abanca Balaídos,,2025-10-02,https://fbref.com/en/stathead/matchup/teams/f25da7fb/5a5e7874/Celta-Vigo-vs-PAOK-History
J2,Basel,Stuttgart,,,St. Jakob-Park,,2025-10-02,https://fbref.com/en/stathead/matchup/teams/d3d9424a/598bc722/Basel-vs-Stuttgart-History
J2,Genk,Ferencváros,,,Cegeka Arena,,2025-10-02,https://fbref.com/en/stathead/matchup/teams/6611f992/1e972a99/Ferencvaros-vs-Genk-History
J2,Feyenoord,Aston Villa,,,Stadion Feijenoord,,2025-10-02,https://fbref.com/en/stathead/matchup/teams/fb4ca611/8602292d/Feyenoord-vs-Aston-Villa-History
J2,Lyon,RB Salzburg,,,Groupama Stadium,,2025-10-02,https://fbref.com/en/stathead/matchup/teams/d53c0b06/50f2a074/Lyon-vs-Red-Bull-Salzburg-History
J2,Maccabi Tel Aviv,Dinamo Zagreb,,,TSC Arena,,2025-10-02,https://fbref.com/en/stathead/matchup/teams/edd0d381/04c011d8/Dinamo-Zagreb-vs-Maccabi-Tel-Aviv-FC-History
