Player,Nationality,Team,League,Position,General Position,Age,Minutes,Matches,Line Index,Passes Index
Aarón Escandell,ESP,Oviedo,Spanish La Liga,GK,Goalkeeper,29,360,1,66,70
Adrian Šemper,CRO,Pisa,Italian Serie A,GK,Goalkeeper,27,270,1,63,79
Alex Meret,ITA,Napoli,Italian Serie A,GK,Goalkeeper,28,180,1,37,10
Alexander Nübel,GER,Stuttgart,German Bundesliga,GK,Goalkeeper,28,360,1,75,78
Alexandros Paschalakis,GRE,Olympiacos,UEFA Champions League,GK,Goalkeeper,36,90,1,40,37
Alisson,BRA,Liverpool,"English Premier League, UEFA Champions League",GK,Goalkeeper,32,540,1,34,61
Alphonse Areola,FRA,West Ham,English Premier League,GK,Goalkeeper,32,90,1,23,30
Altay Bayındır,TUR,Manchester Utd,English Premier League,GK,Goalkeeper,27,450,1,44,41
Anatolii Trubin,UKR,Benfica,UEFA Champions League,GK,Goalkeeper,24,90,1,38,50
Anthony Lopes,POR,Nantes,French Ligue 1,GK,Goalkeeper,34,450,1,37,82
Antonio Sivera,ESP,Alavés,Spanish La Liga,GK,Goalkeeper,29,450,1,72,63
Arijanet Muric,KVX,Sassuolo,Italian Serie A,GK,Goalkeeper,26,180,1,82,69
Augusto Batalla,ARG,Rayo Vallecano,Spanish La Liga,GK,Goalkeeper,29,360,1,60,65
Bart Verbruggen,NED,Brighton,English Premier League,GK,Goalkeeper,23,450,1,39,38
Berke Özer,TUR,Lille,French Ligue 1,GK,Goalkeeper,25,450,1,72,40
Bernd Leno,GER,Fulham,English Premier League,GK,Goalkeeper,33,450,1,65,49
Bingourou Kamara,SEN,Lorient,French Ligue 1,GK,Goalkeeper,28,270,1,17,51
Brice Samba,FRA,Rennes,French Ligue 1,GK,Goalkeeper,31,450,1,69,56
Caoimhín Kelleher,IRL,Brentford,English Premier League,GK,Goalkeeper,26,450,1,20,78
Daniel Heuer Fernandes,POR,Hamburger SV,German Bundesliga,GK,Goalkeeper,32,360,1,35,48
David Raya,ESP,Arsenal,"English Premier League, UEFA Champions League",GK,Goalkeeper,30,450,1,45,78
David Soria,ESP,Getafe,Spanish La Liga,GK,Goalkeeper,32,360,1,21,48
David de Gea,ESP,Fiorentina,Italian Serie A,GK,Goalkeeper,34,270,1,80,45
Dean Henderson,ENG,Crystal Palace,English Premier League,GK,Goalkeeper,28,450,1,82,60
Diant Ramaj,GER,Heidenheim,German Bundesliga,GK,Goalkeeper,24,360,1,79,72
