Player,Nationality,Team,League,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total),Matches,% Saves,% Long Passes,% Crosses Stopped,PSxG/Save
Aaron Ramsdale,ENG,Newcastle Utd,English Premier League,GK,Goalkeeper,27,284,3.17,1.9,1.27,1.55,-0.35,0.0,2.22,9.19,28.52,5.07,842.96,5.07,244.9,19.65,0.95,1.58,28.36,1,40.06,24.16,4.83,19.59
Aarón Escandell,ESP,Oviedo,Spanish La Liga,GK,Goalkeeper,30,1350,6.53,1.47,5.0,1.93,0.47,0.27,5.2,13.87,31.27,3.4,1034.97,6.2,226.44,16.33,0.47,1.93,33.82,1,76.57,37.49,2.88,22.63
Adrian Šemper,CRO,Pisa,Italian Serie A,GK,Goalkeeper,27,1080,4.83,1.33,3.5,1.23,-0.11,0.33,7.67,18.25,28.08,3.42,1101.92,5.67,293.58,15.5,0.92,0.17,2.78,1,72.46,42.03,5.94,18.45
Alban Lafont,FRA,Panathinaikos,UEFA Europa League,GK,Goalkeeper,26,270,3.0,1.0,2.0,1.0,0.0,0.33,4.0,13.67,28.0,4.0,1010.47,4.67,289.3,15.0,0.33,0.33,4.1,1,66.67,29.26,2.2,22.22
Alberto Paleari,ITA,Torino,Italian Serie A,GK,Goalkeeper,33,450,4.0,1.6,2.4,1.6,0.0,0.4,8.0,18.2,25.8,4.2,982.4,7.8,411.14,14.0,0.2,1.4,28.64,1,60.0,43.96,1.43,24.0
Alex Meret,ITA,Napoli,Italian Serie A,GK,Goalkeeper,28,360,3.0,1.0,2.0,0.92,-0.08,0.5,1.25,3.5,21.25,3.0,547.85,6.0,142.32,5.0,0.25,1.5,31.22,1,66.67,35.71,5.0,20.44
Alexander Nübel,GER,Stuttgart,"German Bundesliga, UEFA Europa League",GK,Goalkeeper,29,1620,4.33,1.44,2.94,1.3,-0.14,0.33,5.83,13.33,36.44,4.78,1181.01,3.5,147.42,12.17,0.89,1.72,31.8,1,67.9,43.74,7.31,20.39
Alexander Schlager,AUT,RB Salzburg,UEFA Europa League,GK,Goalkeeper,29,360,7.0,2.5,4.0,2.72,0.22,0.0,8.75,19.0,37.5,4.75,1372.02,5.75,309.32,16.75,0.25,0.0,0.0,1,57.14,46.05,1.49,22.2
Alexandros Paschalakis,GRE,Olympiacos,UEFA Champions League,GK,Goalkeeper,36,90,1.0,0.0,1.0,0.1,0.1,1.0,2.0,3.0,14.0,1.0,379.4,8.0,246.4,1.0,0.0,4.0,84.8,1,100.0,66.67,0.0,10.0
Alisson,BRA,Liverpool,"English Premier League, UEFA Champions League",GK,Goalkeeper,33,1045,3.53,1.46,2.07,1.28,-0.18,0.26,2.76,8.01,34.79,4.74,1003.41,2.5,64.58,12.83,0.78,1.46,26.72,1,58.64,34.46,6.08,21.26
Alphonse Areola,FRA,West Ham,English Premier League,GK,Goalkeeper,32,990,5.27,1.64,3.64,1.6,-0.04,0.0,6.27,20.36,22.82,4.82,913.49,9.91,562.19,19.27,0.82,0.09,2.82,1,69.07,30.8,4.26,20.97
Altay Bayındır,TUR,Manchester Utd,English Premier League,GK,Goalkeeper,27,540,3.83,1.83,2.0,1.53,-0.3,0.0,4.83,15.67,28.83,2.83,1078.93,3.0,146.0,10.33,0.67,1.17,21.95,1,52.22,30.82,6.49,20.86
Anatolii Trubin,UKR,Benfica,UEFA Champions League,GK,Goalkeeper,24,450,4.8,1.6,3.4,1.76,0.16,0.2,2.2,9.4,24.4,3.8,744.68,3.8,114.64,12.4,1.2,0.4,8.06,1,70.83,23.4,9.68,25.97
Andriy Lunin,UKR,Real Madrid,UEFA Champions League,GK,Goalkeeper,26,90,8.0,3.0,5.0,2.6,-0.4,0.0,0.0,9.0,44.0,8.0,1086.8,6.0,243.0,17.0,0.0,1.0,19.0,1,62.5,0.0,0.0,20.31
Anthony Lopes,POR,Nantes,French Ligue 1,GK,Goalkeeper,35,1258,5.22,1.57,3.72,1.57,0.0,0.14,4.65,12.38,34.63,4.79,1139.26,3.65,129.66,17.96,0.93,1.14,21.1,1,71.26,37.56,5.18,21.43
