Player,Nationality,Team,League,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total),Matches,% Saves,% Long Passes,% Crosses Stopped,PSxG/Save
Aarón Escandell,ESP,Oviedo,Spanish La Liga,GK,Goalkeeper,30,900,92,23,93,87,82,36,70,58,48,31,52,59,49,80,25,86,83,1,68,74,20,71
Adrian Šemper,CRO,Pisa,Italian Serie A,GK,Goalkeeper,27,900,61,51,71,38,32,58,87,72,37,44,65,47,59,69,64,13,13,1,66,81,61,22
Alban Lafont,FRA,Panathinaikos,UEFA Europa League,GK,Goalkeeper,26,180,30,42,21,51,38,17,36,48,45,23,56,16,48,93,36,22,19,1,23,15,21,61
Alberto Paleari,ITA,Torino,Italian Serie A,GK,Goalkeeper,33,270,12,72,13,44,76,64,87,73,22,71,36,86,88,45,8,47,54,1,37,81,8,92
Alex Meret,ITA,Napoli,Italian Serie A,GK,Goalkeeper,28,360,18,72,21,20,45,83,3,4,9,23,4,63,20,3,18,68,70,1,51,59,48,49
Alexander Nübel,GER,Stuttgart,"German Bundesliga, UEFA Europa League",GK,Goalkeeper,29,1080,43,63,54,30,46,64,70,39,72,71,60,39,36,43,66,75,75,1,73,91,71,45
Alexander Schlager,AUT,RB Salzburg,UEFA Europa League,GK,Goalkeeper,29,270,69,19,37,80,54,17,85,71,77,78,85,51,65,61,21,6,6,1,8,76,19,30
Alexandros Paschalakis,GRE,Olympiacos,UEFA Champions League,GK,Goalkeeper,36,90,2,97,5,1,65,97,9,2,1,2,2,86,54,0,8,97,97,1,97,98,8,4
Alisson,BRA,Liverpool,"English Premier League, UEFA Champions League",GK,Goalkeeper,32,685,22,58,16,46,49,54,30,22,88,75,71,14,7,47,59,70,69,1,25,62,62,79
Alphonse Areola,FRA,West Ham,English Premier League,GK,Goalkeeper,32,540,62,33,65,50,24,17,50,76,30,85,40,87,87,80,61,13,17,1,47,9,49,25
Altay Bayındır,TUR,Manchester Utd,English Premier League,GK,Goalkeeper,27,540,38,26,21,60,26,17,58,65,44,19,64,11,21,19,47,57,59,1,18,38,64,53
Anatolii Trubin,UKR,Benfica,UEFA Champions League,GK,Goalkeeper,24,270,86,13,84,91,76,17,5,20,15,42,11,57,23,36,74,16,18,1,51,2,80,92
Anthony Lopes,POR,Nantes,French Ligue 1,GK,Goalkeeper,35,988,77,47,82,60,62,43,56,40,86,81,80,20,14,87,61,65,64,1,73,71,44,52
Anton Ari Einarsson,ISL,Breiðablik,UEFA Europa Conference League,GK,Goalkeeper,31,180,69,42,73,55,48,83,36,10,89,96,64,3,3,17,36,6,6,1,61,96,48,47
Antonio Sivera,ESP,Alavés,Spanish La Liga,GK,Goalkeeper,29,990,23,79,33,19,54,43,95,82,5,13,31,83,92,57,30,14,15,1,67,88,29,49
