Player,Nationality,Team,League,Position,General Position,Age,Minutes,Goals,Assists,Shots Total,Shots on Target,Expected Goals (xG),Non-Penalty Expected Goals (npxG),Penalty Kicks Made,Penalty Kicks Attempted,Shot-Creating Actions (SCA),Goal-Creating Actions (GCA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Crosses,Expected Assists (xA),Expected Assisted Goals (xAG),Passes Completed,Passes Attempted,Progressive Passes,Through Balls,Switches,Passes Blocked,Passes Offside,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Passing Distance (Total),Progressive Passing Distance (Total),Carries,Progressive Carries,Carrying Distance (Total),Progressive Carrying Distance (Total),Carries into Final Third,Carries into Penalty Area,Take-Ons Attempted,Successful Take-Ons,Times Tackled During Take-On,Tackles,Tackles Won,Tackles in Defensive Third,Tackles in Middle Third,Tackles in Attacking Third,Dribblers Tackled,Dribbles Challenged,Challenges Lost,Interceptions,Blocks,Shots Blocked,Clearances,Errors Leading to Shot,Ball Recoveries,Miscontrols,Dispossessed,Ball Losses,Passes Received,Progressive Passes Received,Touches,Touches in Defensive Penalty Area,Touches in Defensive Third,Touches in Middle Third,Touches in Attacking Third,Touches in Attacking Penalty Area,Live-Ball Touches,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalties Kicks Conceded,Penalties Kicks Won,Own Goals,Aerials Won,Aerials Lost,Total Aerials,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels Won,Efficiency,Matches,% Efficiency,% Aerial Duels,% Passes (Total),% Passes (Short),% Passes (Medium),% Passes (Long),% Tackles/Duels,% Take-Ons
Aaron Anselmino,ARG,Dortmund,"German Bundesliga, UEFA Champions League",CB,Defender,20,171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,6.32,0.53,0.0,0.0,0.05,0.0,65.79,73.68,6.84,0.0,0.0,0.53,0.0,71.58,2.11,2.11,26.32,27.89,37.89,42.63,1.58,2.11,1122.63,387.37,47.89,2.11,232.63,146.84,1.05,0.0,0.53,0.53,0.0,2.63,2.63,2.63,0.0,0.0,2.11,2.63,0.53,1.05,0.0,0.0,5.26,0.53,6.32,1.05,0.0,1.05,62.11,0.53,84.21,4.21,27.89,51.58,4.74,0.0,84.21,0.0,0.0,0.0,2.11,1.05,0.0,0.0,0.0,0.0,2.11,1.05,3.16,9.47,0.53,0.53,4.74,0.0,1,0.0,66.77,0.0,94.37,88.88,74.88,90.11,100.0
Aaron Hickey,SCO,Brentford,English Premier League,LB,Defender,23,188,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,2.87,0.96,0.0,0.0,0.0,0.0,33.03,41.65,1.91,0.0,0.0,0.48,0.0,34.47,7.18,0.96,17.23,19.15,11.97,15.32,3.35,5.74,559.63,191.01,22.98,0.0,117.77,48.83,0.0,0.0,0.48,0.0,0.48,1.91,0.96,1.91,0.0,0.0,1.91,2.87,0.96,0.48,1.44,0.0,2.39,0.0,3.35,2.39,0.96,3.35,29.68,2.39,52.66,1.91,22.02,24.41,6.22,0.0,52.66,0.48,0.0,0.0,0.96,0.96,0.0,0.0,0.0,0.0,1.44,0.96,2.39,4.31,0.96,0.96,2.87,0.0,1,0.0,60.25,0.0,89.97,78.13,58.36,60.04,0.0
Aaron McEneff,IRL,"Shamrock Rov, Shamrock Rovers",UEFA Europa Conference League,CM,Midfielder,30,89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,1.01,0.0,0.0,1.01,0.0,0.0,23.26,27.3,3.03,0.0,0.0,1.01,0.0,22.25,5.06,0.0,7.08,7.08,13.15,14.16,3.03,5.06,461.12,102.13,9.1,0.0,13.15,4.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,1.01,2.02,2.02,0.0,0.0,0.0,3.03,1.01,0.0,1.01,19.21,2.02,35.39,1.01,12.13,16.18,7.08,0.0,35.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.06,1.01,0.0,0.0,0.0,1,0.0,0.0,0.0,100.0,92.87,59.88,0.0,0.0
Aaron Wan-Bissaka,ENG,West Ham,English Premier League,RB,Defender,27,471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53,0.0,0.57,1.72,1.34,0.96,2.29,0.06,0.04,42.23,53.31,3.06,0.19,0.19,1.72,0.19,40.51,12.61,0.19,27.13,30.19,11.46,15.29,2.1,3.44,589.68,213.44,28.28,1.72,143.12,72.04,0.96,0.0,1.72,0.57,0.76,0.96,0.76,0.19,0.57,0.19,0.76,0.76,0.0,0.96,1.15,0.19,4.59,0.19,2.68,1.15,0.38,1.53,35.92,5.73,64.2,3.44,19.49,25.8,19.3,1.15,64.2,0.0,0.0,0.0,0.76,0.57,0.19,0.0,0.0,0.0,0.96,0.57,1.53,10.51,1.53,3.44,1.53,0.0,1,0.0,62.75,0.0,89.86,74.95,61.05,88.37,33.14
Aaron Zehnter,GER,Wolfsburg,German Bundesliga,LB,Defender,21,448,0.2,0.0,1.0,0.4,0.04,0.04,0.0,0.0,1.41,0.2,0.6,1.61,0.2,0.0,1.41,0.02,0.04,36.76,47.81,1.0,0.0,0.0,1.81,0.2,38.57,9.04,0.6,13.86,15.67,18.88,21.7,3.82,8.44,702.92,208.12,27.32,1.41,110.09,63.88,1.61,0.4,0.6,0.6,0.0,0.6,0.4,0.4,0.2,0.0,0.4,1.0,0.6,1.61,1.21,0.6,2.21,0.0,4.02,0.6,0.0,0.6,29.93,2.81,55.25,3.42,23.1,21.29,11.25,1.21,55.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,1.0,5.22,1.61,1.81,0.8,0.16,1,0.2,40.0,0.0,88.45,87.0,45.26,50.0,100.0
Aarón Martín,ESP,Genoa,Italian Serie A,LB,Defender,28,506,0.0,0.0,0.53,0.36,0.04,0.04,0.0,0.0,3.56,0.0,1.96,3.38,0.53,0.18,6.23,0.21,0.32,40.02,56.74,3.38,0.36,0.18,1.42,0.18,39.84,16.72,2.85,16.19,18.14,19.21,23.83,4.27,12.45,739.03,302.19,33.79,1.25,179.64,64.03,1.25,0.0,0.89,0.89,0.0,1.78,1.25,0.89,0.71,0.18,0.53,0.71,0.18,0.36,1.07,0.53,2.31,0.0,4.09,1.07,1.25,2.31,36.11,3.74,64.39,1.78,18.85,29.53,16.54,0.71,64.39,0.18,0.0,0.0,1.42,0.89,0.0,0.0,0.0,0.0,0.18,1.25,1.42,8.36,3.56,1.42,1.78,-0.04,1,0.0,12.68,0.0,89.25,80.61,34.3,71.49,100.0
Abdallah Sima,SEN,Lens,French Ligue 1,AM,Forward,24,128,0.7,0.0,2.11,1.41,0.14,0.14,0.0,0.0,2.81,0.0,1.41,1.41,0.7,0.0,0.7,0.0,0.07,16.17,24.61,2.11,0.7,0.0,2.11,0.0,24.61,0.0,0.0,10.55,14.77,4.92,5.62,0.7,1.41,225.0,34.45,15.47,1.41,95.62,22.5,2.11,0.7,1.41,0.0,1.41,1.41,1.41,0.7,0.0,0.7,0.0,1.41,1.41,0.0,1.41,0.0,4.22,0.0,0.7,4.92,0.0,4.92,27.42,7.73,45.0,0.7,7.03,17.58,21.09,3.52,45.0,1.41,0.0,0.0,1.41,0.0,0.0,0.0,0.0,0.0,2.11,0.0,2.11,11.25,2.81,4.92,1.41,0.56,1,0.7,100.0,0.0,71.43,87.54,49.65,50.0,0.0
Abde Ezzalzouli,MAR,Betis,"Spanish La Liga, UEFA Europa League",LW,Forward,23,578,0.47,0.16,3.27,1.09,0.42,0.42,0.0,0.0,3.74,0.31,1.56,1.71,0.78,0.16,2.18,0.19,0.28,27.09,35.03,2.49,0.16,0.16,1.71,0.31,33.79,0.93,0.31,18.69,20.87,4.67,7.16,1.09,1.56,321.7,88.13,32.08,4.98,240.88,134.84,3.27,2.18,4.83,2.02,2.18,2.02,1.09,0.93,0.47,0.62,0.78,1.4,0.62,0.47,1.56,0.16,0.93,0.0,4.52,2.96,2.34,5.29,38.3,9.65,51.07,1.09,5.61,20.24,26.31,5.14,51.07,0.0,0.0,0.0,0.78,3.74,0.31,0.0,0.0,0.0,1.25,1.56,2.8,17.13,4.05,8.25,1.87,0.05,1,0.47,44.64,0.0,89.55,65.22,69.87,54.68,41.82
Abde Rebbach,ALG,Alavés,Spanish La Liga,LM,Midfielder,27,359,0.0,0.0,2.26,0.5,0.15,0.15,0.0,0.0,4.26,0.0,2.01,3.01,1.0,0.25,6.77,0.15,0.13,27.33,39.36,3.01,0.0,0.0,1.75,0.25,33.84,5.26,1.5,15.54,18.3,8.52,11.78,2.76,6.52,432.95,104.04,27.58,3.76,188.02,113.82,2.01,1.75,4.01,1.25,2.51,2.51,1.0,1.25,0.75,0.5,0.5,1.25,0.75,1.25,1.0,0.0,0.75,0.0,5.77,1.25,1.5,2.76,33.09,5.77,53.4,0.75,7.52,20.81,25.82,3.76,53.4,0.25,0.0,0.0,3.51,1.75,0.0,0.0,0.0,0.0,1.0,1.25,2.26,12.53,4.26,6.77,1.5,-0.15,1,0.0,44.25,0.0,84.92,72.33,42.33,39.89,31.17
Abdel Abqar,MAR,Getafe,Spanish La Liga,CB,Defender,26,432,0.0,0.21,1.25,0.21,0.04,0.04,0.0,0.0,0.42,0.21,0.21,1.46,0.0,0.0,0.0,0.06,0.04,21.04,29.38,1.25,0.0,1.46,0.0,0.0,26.88,2.5,2.08,6.04,7.5,10.0,11.25,4.38,9.58,479.79,140.83,15.42,0.42,77.92,36.67,0.0,0.0,0.42,0.21,0.21,3.54,2.08,2.5,1.04,0.0,1.88,2.08,0.21,1.46,1.46,0.42,4.58,0.0,4.79,0.62,0.21,0.83,17.5,0.0,43.33,2.92,21.88,19.79,1.67,1.25,43.33,0.62,0.0,0.0,1.46,2.71,0.21,0.0,0.0,0.0,1.67,0.62,2.29,1.67,0.62,1.25,3.96,-0.04,1,0.0,72.93,0.0,80.53,88.89,45.72,70.46,50.0
