Player,Nationality,Team,League,Position,General Position,Age,Minutes,Matches,Line Index,Passes Index
Aaron Ramsdale,ENG,Newcastle Utd,English Premier League,GK,Goalkeeper,27,14,1,12,1
Aarón Escandell,ESP,Oviedo,Spanish La Liga,GK,Goalkeeper,30,1170,1,70,56
Adrian Šemper,CRO,Pisa,Italian Serie A,GK,Goalkeeper,27,990,1,35,71
Alban Lafont,FRA,Panathinaikos,UEFA Europa League,GK,Goalkeeper,26,270,1,55,38
Alberto Paleari,ITA,Torino,Italian Serie A,GK,Goalkeeper,33,360,1,83,75
Alex Meret,ITA,Napoli,Italian Serie A,GK,Goalkeeper,28,360,1,46,27
Alexander Nübel,GER,Stuttgart,"German Bundesliga, UEFA Europa League",GK,Goalkeeper,29,1350,1,49,80
Alexander Schlager,AUT,RB Salzburg,UEFA Europa League,GK,Goalkeeper,29,270,1,33,81
Alexandros Paschalakis,GRE,Olympiacos,UEFA Champions League,GK,Goalkeeper,36,90,1,39,36
Alisson,BRA,Liverpool,"English Premier League, UEFA Champions League",GK,Goalkeeper,33,775,1,57,61
Alphonse Areola,FRA,West Ham,English Premier League,GK,Goalkeeper,32,720,1,60,53
Altay Bayındır,TUR,Manchester Utd,English Premier League,GK,Goalkeeper,27,540,1,37,43
Anatolii Trubin,UKR,Benfica,UEFA Champions League,GK,Goalkeeper,24,360,1,70,16
Anthony Lopes,POR,Nantes,French Ligue 1,GK,Goalkeeper,35,1078,1,52,65
Anton Ari Einarsson,ISL,Breiðablik,UEFA Europa Conference League,GK,Goalkeeper,31,270,1,21,70
Antonio Sivera,ESP,Alavés,Spanish La Liga,GK,Goalkeeper,29,1170,1,49,64
Antonis Tsiftsis,GRE,PAOK,UEFA Europa League,GK,Goalkeeper,26,180,1,74,17
Arijanet Muric,KVX,Sassuolo,Italian Serie A,GK,Goalkeeper,27,900,1,73,64
Arnau Tenas,ESP,Villarreal,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,24,360,1,13,17
Arnaud Bodart,BEL,Lille,French Ligue 1,GK,Goalkeeper,27,180,1,80,75
Augusto Batalla,ARG,Rayo Vallecano,"Spanish La Liga, UEFA Europa Conference League",GK,Goalkeeper,29,1440,1,63,57
Baboucarr Gaye,GAM,Shkëndija 79,UEFA Europa Conference League,GK,Goalkeeper,27,360,1,30,45
Bart Verbruggen,NED,Brighton,English Premier League,GK,Goalkeeper,23,1080,1,64,32
Bartosz Mrozek,POL,Lech Poznań,UEFA Europa Conference League,GK,Goalkeeper,25,270,1,11,50
Bartłomiej Drągowski,POL,Panathinaikos,UEFA Europa League,GK,Goalkeeper,28,90,1,78,68
Berke Özer,TUR,Lille,"French Ligue 1, UEFA Europa League",GK,Goalkeeper,25,1350,1,73,50
Bernd Leno,GER,Fulham,English Premier League,GK,Goalkeeper,33,1080,1,43,40
Bingourou Kamara,SEN,Lorient,French Ligue 1,GK,Goalkeeper,28,270,1,14,50
Brice Samba,FRA,Rennes,French Ligue 1,GK,Goalkeeper,31,1170,1,59,45
Caoimhín Kelleher,IRL,Brentford,English Premier League,GK,Goalkeeper,26,1080,1,26,77
