Player,Game Week,Position,General Position,Team,League,Minutes,Rating,Age,Nationality
Stefano Turati,J1,GK,Goalkeeper,Sassuolo,Italian Serie A,90,5.73,23,ITA
Alex Meret,J1,GK,Goalkeeper,Napoli,Italian Serie A,90,6.56,28,ITA
Yann Sommer,J1,GK,Goalkeeper,Inter,Italian Serie A,90,7.06,36,SUI
Franco Israel,J1,GK,Goalkeeper,Torino,Italian Serie A,90,5.76,25,URU
Robert Sánchez,J1,GK,Goalkeeper,Chelsea,English Premier League,90,6.99,27,ESP
Dean Henderson,J1,GK,Goalkeeper,Crystal Palace,English Premier League,90,7.26,28,ENG
Altay Bayındır,J1,GK,Goalkeeper,Manchester Utd,English Premier League,90,6.68,27,TUR
David Raya,J1,GK,Goalkeeper,Arsenal,English Premier League,90,7.32,29,ESP
Lucas Perri,J1,GK,Goalkeeper,Leeds United,English Premier League,90,6.73,27,BRA
Jordan Pickford,J1,GK,Goalkeeper,Everton,English Premier League,90,6.72,31,ENG
Mads Hermansen,J2,GK,Goalkeeper,West Ham,English Premier League,90,6.35,25,DEN
Robert Sánchez,J2,GK,Goalkeeper,Chelsea,English Premier League,90,6.34,27,ESP
James Trafford,J2,GK,Goalkeeper,Manchester City,English Premier League,90,6.48,22,ENG
Guglielmo Vicario,J2,GK,Goalkeeper,Tottenham,English Premier League,90,7.24,28,ITA
Đorđe Petrović,J2,GK,Goalkeeper,Bournemouth,English Premier League,90,6.88,25,SRB
José Sá,J2,GK,Goalkeeper,Wolves,English Premier League,90,6.6,32,POR
Caoimhín Kelleher,J2,GK,Goalkeeper,Brentford,English Premier League,90,7.04,26,IRL
Emiliano Martínez,J2,GK,Goalkeeper,Aston Villa,English Premier League,90,6.42,32,ARG
Martin Dúbravka,J2,GK,Goalkeeper,Burnley,English Premier League,90,7.01,36,SVK
Robin Roefs,J2,GK,Goalkeeper,Sunderland,English Premier League,90,6.05,22,NED
David Raya,J2,GK,Goalkeeper,Arsenal,English Premier League,90,6.79,29,ESP
Lucas Perri,J2,GK,Goalkeeper,Leeds United,English Premier League,90,5.33,27,BRA
Dean Henderson,J2,GK,Goalkeeper,Crystal Palace,English Premier League,90,5.83,28,ENG
Matz Sels,J2,GK,Goalkeeper,Nott'ham Forest,English Premier League,90,6.49,33,BEL
Jordan Pickford,J2,GK,Goalkeeper,Everton,English Premier League,90,7.33,31,ENG
Bart Verbruggen,J2,GK,Goalkeeper,Brighton,English Premier League,90,5.78,23,NED
Bernd Leno,J2,GK,Goalkeeper,Fulham,English Premier League,90,6.17,33,GER
Altay Bayındır,J2,GK,Goalkeeper,Manchester Utd,English Premier League,90,6.62,27,TUR
Nick Pope,J2,GK,Goalkeeper,Newcastle Utd,English Premier League,90,5.63,33,ENG
Alisson,J2,GK,Goalkeeper,Liverpool,English Premier League,90,6.38,32,BRA
Robert Sánchez,J3,GK,Goalkeeper,Chelsea,English Premier League,90,6.57,27,ESP
Bernd Leno,J3,GK,Goalkeeper,Fulham,English Premier League,90,6.84,33,GER
Robin Roefs,J3,GK,Goalkeeper,Sunderland,English Premier League,90,6.91,22,NED
Caoimhín Kelleher,J3,GK,Goalkeeper,Brentford,English Premier League,90,6.0,26,IRL
