Player,Team,League,Position,General Position,Nationality,Age,Rating,Minutes,Matches,Average Rating
Aarón Escandell,Oviedo,Spanish La Liga,GK,Goalkeeper,ESP,30,60.16,900,10,6.02
Adrian Šemper,Pisa,Italian Serie A,GK,Goalkeeper,CRO,27,47.16,810,9,5.24
Alban Lafont,Panathinaikos,UEFA Europa League,GK,Goalkeeper,FRA,26,8.19,180,2,4.1
Alberto Paleari,Torino,Italian Serie A,GK,Goalkeeper,ITA,33,13.18,180,2,6.59
Alex Meret,Napoli,Italian Serie A,GK,Goalkeeper,ITA,28,17.41,360,4,4.35
Alexander Nübel,Stuttgart,"German Bundesliga, UEFA Europa League",GK,Goalkeeper,GER,29,58.38,990,11,5.31
Alexander Schlager,RB Salzburg,UEFA Europa League,GK,Goalkeeper,AUT,29,13.17,270,3,4.39
Alexandros Paschalakis,Olympiacos,UEFA Champions League,GK,Goalkeeper,GRE,36,8.18,90,1,8.18
Alisson,Liverpool,"English Premier League, UEFA Champions League",GK,Goalkeeper,BRA,32,43.76,685,8,5.47
Alphonse Areola,West Ham,English Premier League,GK,Goalkeeper,FRA,32,22.13,450,5,4.43
Altay Bayındır,Manchester Utd,English Premier League,GK,Goalkeeper,TUR,27,26.79,540,6,4.46
Anatolii Trubin,Benfica,UEFA Champions League,GK,Goalkeeper,UKR,24,17.82,270,3,5.94
Anthony Lopes,Nantes,French Ligue 1,GK,Goalkeeper,POR,35,51.78,900,10,5.18
Anton Ari Einarsson,Breiðablik,UEFA Europa Conference League,GK,Goalkeeper,ISL,31,8.56,180,2,4.28
Antonio Sivera,Alavés,Spanish La Liga,GK,Goalkeeper,ESP,29,60.81,900,10,6.08
Antonis Tsiftsis,PAOK,UEFA Europa League,GK,Goalkeeper,GRE,26,5.7,90,1,5.7
Arijanet Muric,Sassuolo,Italian Serie A,GK,Goalkeeper,KVX,26,53.11,720,8,6.64
Arnau Tenas,Villarreal,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,ESP,24,13.76,360,4,3.44
Arnaud Bodart,Lille,French Ligue 1,GK,Goalkeeper,BEL,27,11.21,180,2,5.6
Augusto Batalla,Rayo Vallecano,"Spanish La Liga, UEFA Europa Conference League",GK,Goalkeeper,ARG,29,77.5,1080,12,6.46
Baboucarr Gaye,Shkëndija 79,UEFA Europa Conference League,GK,Goalkeeper,GAM,27,13.97,270,3,4.66
Bart Verbruggen,Brighton,English Premier League,GK,Goalkeeper,NED,23,38.01,810,9,4.22
Bartosz Mrozek,Lech Poznań,UEFA Europa Conference League,GK,Goalkeeper,POL,25,2.08,180,2,1.04
Bartłomiej Drągowski,Panathinaikos,UEFA Europa League,GK,Goalkeeper,POL,28,5.81,90,1,5.81
Berke Özer,Lille,"French Ligue 1, UEFA Europa League",GK,Goalkeeper,TUR,25,61.29,990,11,5.57
Bernd Leno,Fulham,English Premier League,GK,Goalkeeper,GER,33,45.34,810,9,5.04
Bingourou Kamara,Lorient,French Ligue 1,GK,Goalkeeper,SEN,28,11.35,270,3,3.78
Brice Samba,Rennes,French Ligue 1,GK,Goalkeeper,FRA,31,46.46,900,10,4.65
Caoimhín Kelleher,Brentford,English Premier League,GK,Goalkeeper,IRL,26,47.79,810,9,5.31
Daniel Heuer Fernandes,Hamburger SV,German Bundesliga,GK,Goalkeeper,POR,32,43.4,720,8,5.42
David Raya,Arsenal,"English Premier League, UEFA Champions League",GK,Goalkeeper,ESP,30,89.79,1080,12,7.48
David Soria,Getafe,Spanish La Liga,GK,Goalkeeper,ESP,32,61.06,900,10,6.11
David de Gea,Fiorentina,"Italian Serie A, UEFA Europa Conference League",GK,Goalkeeper,ESP,34,58.17,990,11,5.29
Dean Henderson,Crystal Palace,"English Premier League, UEFA Europa Conference League",GK,Goalkeeper,ENG,28,68.28,990,11,6.21
Diant Ramaj,Heidenheim,German Bundesliga,GK,Goalkeeper,GER,24,40.61,720,8,5.08
Dimitar Mitov,Aberdeen,UEFA Europa Conference League,GK,Goalkeeper,BUL,28,1.91,180,2,0.96
Diogo Costa,Porto,UEFA Europa League,GK,Goalkeeper,POR,26,12.64,270,3,4.21
Dmytro Riznyk,Shakhtar,UEFA Europa Conference League,GK,Goalkeeper,UKR,26,4.0,90,1,4.0
Dominik Greif,Lyon,"French Ligue 1, UEFA Europa League",GK,Goalkeeper,SVK,28,46.06,810,9,5.12
Dominik Kotarski,FC Copenhagen,UEFA Champions League,GK,Goalkeeper,CRO,25,13.77,270,3,4.59
Dominik Takáč,Slovan Bratislava,UEFA Europa Conference League,GK,Goalkeeper,SVK,26,9.07,180,2,4.54
Donovan Léon,Auxerre,French Ligue 1,GK,Goalkeeper,GUF,32,43.45,674,8,5.43
Dénes Dibusz,Ferencváros,UEFA Europa League,GK,Goalkeeper,HUN,34,15.81,270,3,5.27
Ed McGinty,"Shamrock Rov, Shamrock Rovers",UEFA Europa Conference League,GK,Goalkeeper,IRL,26,5.53,180,2,2.76
Ederson,Fenerbahçe,UEFA Europa League,GK,Goalkeeper,BRA,32,12.29,270,3,4.1
Elia Caprile,Cagliari,Italian Serie A,GK,Goalkeeper,ITA,24,50.28,810,9,5.59
Elías Rafn Ólafsson,Midtjylland,UEFA Europa League,GK,Goalkeeper,ISL,25,21.41,270,3,7.14
Emil Audero,Cremonese,Italian Serie A,GK,Goalkeeper,IDN,28,34.28,450,5,6.86
Emiliano Martínez,Aston Villa,"English Premier League, UEFA Europa League",GK,Goalkeeper,ARG,33,41.84,720,8,5.23
Etrit Berisha,Häcken,UEFA Europa Conference League,GK,Goalkeeper,ALB,36,9.67,180,2,4.84
Fabiano,AC Omonia,UEFA Europa Conference League,GK,Goalkeeper,CYP,37,0.92,90,1,0.92
Faton Maloku,KF Drita,UEFA Europa Conference League,GK,Goalkeeper,KVX,34,8.24,180,2,4.12
Federico Ravaglia,Bologna,Italian Serie A,GK,Goalkeeper,ITA,25,7.71,90,1,7.71
Filip Jørgensen,Chelsea,"English Premier League, UEFA Champions League",GK,Goalkeeper,DEN,23,6.34,173,2,3.17
Finn Dahmen,Augsburg,German Bundesliga,GK,Goalkeeper,GER,27,34.43,720,8,4.3
Francis Uzoho,AC Omonia,UEFA Europa Conference League,GK,Goalkeeper,NGA,26,3.65,90,1,3.65
Franco Israel,Torino,Italian Serie A,GK,Goalkeeper,URU,25,33.98,630,7,4.85
Frederik Rønnow,Union Berlin,German Bundesliga,GK,Goalkeeper,DEN,33,42.97,720,8,5.37
Gerónimo Rulli,Marseille,"French Ligue 1, UEFA Champions League",GK,Goalkeeper,ARG,33,69.64,990,11,6.33
Gianluigi Donnarumma,Manchester City,"English Premier League, UEFA Champions League",GK,Goalkeeper,ITA,26,53.99,810,9,6.0
Giorgi Mamardashvili,Liverpool,"English Premier League, UEFA Champions League",GK,Goalkeeper,GEO,25,22.29,395,5,4.46
Goran Karaćić,Zrinjski Mostar,UEFA Europa Conference League,GK,Goalkeeper,BIH,29,9.1,180,2,4.55
Gregor Kobel,Dortmund,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,SUI,27,58.24,990,11,5.29
Grégoire Coudert,Brest,French Ligue 1,GK,Goalkeeper,FRA,26,15.69,212,3,5.23
Guglielmo Vicario,Tottenham,"English Premier League, UEFA Champions League",GK,Goalkeeper,ITA,29,84.26,1080,12,7.02
Guillaume Restes,Toulouse,French Ligue 1,GK,Goalkeeper,FRA,20,46.64,900,10,4.66
Hendrik Bonmann,Ludogorets,UEFA Europa League,GK,Goalkeeper,GER,31,5.1,90,1,5.1
Hendrik Van Crombrugge,Genk,UEFA Europa League,GK,Goalkeeper,BEL,32,19.33,270,3,6.44
Henry Bonello,Ħamrun Spartans FC,UEFA Europa Conference League,GK,Goalkeeper,MLT,37,10.53,180,2,5.26
Hervé Koffi,Angers,French Ligue 1,GK,Goalkeeper,BFA,29,58.08,900,10,5.81
Ionuț Radu,Celta Vigo,"Spanish La Liga, UEFA Europa League",GK,Goalkeeper,ROU,28,61.47,1170,13,4.73
Ivan Nevistić,Dinamo Zagreb,UEFA Europa League,GK,Goalkeeper,CRO,27,12.64,270,3,4.21
