Player,Game Week,Position,General Position,Team,League,Minutes,Rating,Age,Nationality
Josh Doig,J1,LB,Defender,Sassuolo,Italian Serie A,80.0,6.13,23,SCO
Fali Candé,J1,LB,Defender,Sassuolo,Italian Serie A,10.0,5.67,27,GNB
Tarik Muharemovic,J1,CB,Defender,Sassuolo,Italian Serie A,90.0,6.31,22,BIH
Filippo Romagna,J1,CB,Defender,Sassuolo,Italian Serie A,90.0,5.8,28,ITA
Sebastian Walukiewicz,J1,RB,Defender,Sassuolo,Italian Serie A,90.0,6.12,25,POL
Mathías Olivera,J1,LB,Defender,Napoli,Italian Serie A,88.0,6.06,27,URU
Leonardo Spinazzola,J1,LB,Defender,Napoli,Italian Serie A,2.0,5.9,32,ITA
Juan Jesus,J1,CB,Defender,Napoli,Italian Serie A,90.0,6.55,34,BRA
Amir Rrahmani,J1,CB,Defender,Napoli,Italian Serie A,90.0,6.76,31,KVX
Giovanni Di Lorenzo,J1,RB,Defender,Napoli,Italian Serie A,90.0,6.28,32,ITA
Alessandro Bastoni,J1,CB,Defender,Inter,Italian Serie A,85.0,6.68,26,ITA
Francesco Acerbi,J1,CB,Defender,Inter,Italian Serie A,90.0,6.74,37,ITA
Benjamin Pavard,J1,CB,Defender,Inter,Italian Serie A,90.0,6.75,29,FRA
Marcus Pedersen,J1,RB,Defender,Torino,Italian Serie A,11.0,5.76,25,NOR
Cristiano Biraghi,J1,LB,Defender,Torino,Italian Serie A,90.0,6.1,32,ITA
Adam Masina,J1,CB,Defender,Torino,Italian Serie A,90.0,6.29,31,MAR
Saúl Coco,J1,CB,Defender,Torino,Italian Serie A,90.0,6.16,26,EQG
Valentino Lazaro,J1,RB,Defender,Torino,Italian Serie A,78.0,6.57,29,AUT
Marc Cucurella,J1,LB,Defender,Chelsea,English Premier League,90.0,6.67,27,ESP
Trevoh Chalobah,J1,CB,Defender,Chelsea,English Premier League,90.0,6.92,26,ENG
Joshua Acheampong,J1,CB,Defender,Chelsea,English Premier League,90.0,7.02,19,ENG
Reece James,J1,RB,Defender,Chelsea,English Premier League,78.0,7.16,25,ENG
Malo Gusto,J1,RB,Defender,Chelsea,English Premier League,12.0,6.18,22,FRA
Marc Guéhi,J1,CB,Defender,Crystal Palace,English Premier League,90.0,5.88,25,ENG
Maxence Lacroix,J1,CB,Defender,Crystal Palace,English Premier League,90.0,6.58,25,FRA
Chris Richards,J1,CB,Defender,Crystal Palace,English Premier League,90.0,6.13,25,USA
Luke Shaw,J1,CB,Defender,Manchester Utd,English Premier League,79.0,6.81,30,ENG
Harry Maguire,J1,CB,Defender,Manchester Utd,English Premier League,11.0,6.07,32,ENG
Matthijs de Ligt,J1,CB,Defender,Manchester Utd,English Premier League,90.0,7.15,26,NED
Leny Yoro,J1,CB,Defender,Manchester Utd,English Premier League,90.0,7.06,19,FRA
Riccardo Calafiori,J1,LB,Defender,Arsenal,English Premier League,71.0,6.47,23,ITA
Myles Lewis-Skelly,J1,LB,Defender,Arsenal,English Premier League,19.0,5.69,18,ENG
Gabriel Magalhães,J1,CB,Defender,Arsenal,English Premier League,90.0,6.12,27,BRA
William Saliba,J1,CB,Defender,Arsenal,English Premier League,90.0,6.7,24,FRA
Ben White,J1,RB,Defender,Arsenal,English Premier League,70.0,6.88,27,ENG
Jurriën Timber,J1,RB,Defender,Arsenal,English Premier League,20.0,6.36,24,NED
Gabriel Gudmundsson,J1,LB,Defender,Leeds United,English Premier League,90.0,7.22,26,SWE
Pascal Struijk,J1,CB,Defender,Leeds United,English Premier League,90.0,6.67,26,NED
Joe Rodon,J1,CB,Defender,Leeds United,English Premier League,90.0,6.46,27,WAL
Jayden Bogle,J1,RB,Defender,Leeds United,English Premier League,90.0,6.65,25,ENG
