Player,Team,League,Position,General Position,Nationality,Age,Rating,Minutes,Matches,Average Rating
Aaron Anselmino,Dortmund,"German Bundesliga, UEFA Champions League",CB,Defender,ARG,20,27.3,442,7,3.9
Aaron Greene,Shamrock Rovers,UEFA Europa Conference League,CM,Midfielder,IRL,35,2.4,4,1,2.4
Aaron Hickey,Brentford,English Premier League,LB,Defender,SCO,23,33.0,356,9,3.67
Aaron McEneff,"Shamrock Rov, Shamrock Rovers",UEFA Europa Conference League,CM,Midfielder,IRL,30,5.9,134,3,1.97
Aaron Wan-Bissaka,West Ham,English Premier League,RB,Defender,ENG,27,37.8,651,8,4.72
Aaron Wan-Bissaka,West Ham,English Premier League,RB,Defender,COD,28,16.4,270,3,5.47
Aaron Zehnter,Wolfsburg,German Bundesliga,LB,Defender,GER,21,43.4,808,9,4.82
Aarón Martín,Genoa,Italian Serie A,LB,Defender,ESP,28,46.7,851,10,4.67
Abdallah Sima,Lens,French Ligue 1,AM,Forward,SEN,24,23.3,157,7,3.33
Abde Ezzalzouli,Betis,"Spanish La Liga, UEFA Europa League",LW,Forward,MAR,23,98.0,1045,16,6.12
Abde Rebbach,Alavés,Spanish La Liga,LM,Midfielder,ALG,27,49.0,566,10,4.9
Abdel Abqar,Getafe,Spanish La Liga,CB,Defender,MAR,26,34.7,600,9,3.86
Abdelhamid Ait Boudlal,Rennes,French Ligue 1,CB,Defender,MAR,19,33.9,558,8,4.24
Abdelhamid Sabiri,Fiorentina,Italian Serie A,CM,Midfielder,MAR,28,5.4,27,1,5.4
Abdellah Zoubir,Qarabağ,UEFA Champions League,LW,Forward,FRA,33,28.8,433,5,5.76
Abderrahman Rebbach,Alavés,Spanish La Liga,CM,Midfielder,ALG,27,11.5,47,2,5.75
Abdou Harroui,Hellas Verona,Italian Serie A,CM,Midfielder,NED,27,17.5,146,7,2.5
Abdoul Coulibaly,Werder Bremen,German Bundesliga,CB,Defender,GER,18,62.4,1072,13,4.8
Abdoul Ouattara,Strasbourg,"French Ligue 1, UEFA Europa Conference League",WB,Midfielder,FRA,20,48.4,793,11,4.4
Abdoulaye Bamba,Angers,French Ligue 1,RB,Defender,CIV,35,2.7,10,1,2.7
Abdoulaye Faye,Lorient,French Ligue 1,CB,Defender,SEN,21,33.6,573,7,4.8
Abdoulaye Niakhate Ndiaye,Parma,Italian Serie A,CB,Defender,SEN,23,34.0,496,7,4.86
Abdoulaye Sylla,Sigma Olomouc,UEFA Europa Conference League,CB,Defender,GUI,25,16.5,360,4,4.12
Abdoulaye Touré,Le Havre,French Ligue 1,CM,Midfielder,GUI,31,43.1,741,11,3.92
Abdoulie Ceesay,St. Pauli,German Bundesliga,AM,Forward,GAM,21,17.8,192,10,1.78
Abdukodir Khusanov,Manchester City,"English Premier League, UEFA Champions League",RB,Defender,UZB,21,30.8,382,6,5.13
Abdulai Juma Bah,Nice,"French Ligue 1, UEFA Europa League",CB,Defender,SLE,19,58.0,1080,14,4.14
Abdón Prats,Mallorca,Spanish La Liga,AM,Forward,ESP,32,11.0,74,6,1.83
Abdülkerim Bardakcı,Galatasaray,UEFA Champions League,CB,Defender,TUR,31,17.6,360,4,4.4
Abel,Osasuna,Spanish La Liga,WB,Midfielder,ESP,24,4.9,89,1,4.9
Abel Bretones,Osasuna,Spanish La Liga,LM,Midfielder,ESP,25,48.1,980,11,4.37
Abel Ruiz,Girona,Spanish La Liga,AM,Forward,ESP,25,8.1,37,3,2.7
Abner,Lyon,"French Ligue 1, UEFA Europa League",LB,Defender,BRA,25,55.3,923,12,4.61
Aboubaka Soumahoro,Hamburger SV,German Bundesliga,CB,Defender,FRA,20,7.1,103,2,3.55
Aboubakary Koita,AEK Athens,UEFA Europa Conference League,AM,Forward,MTN,27,20.4,209,4,5.1
Abu Kamara,Getafe,Spanish La Liga,RM,Midfielder,ENG,22,18.1,161,8,2.26
Achraf Hakimi,Paris S-G,"French Ligue 1, UEFA Champions League",RB,Defender,MAR,27,64.2,970,13,4.94
Adam Boayar,Elche,Spanish La Liga,CM,Midfielder,MAR,19,4.3,6,1,4.3
Adam Buksa,Udinese,Italian Serie A,AM,Forward,POL,29,28.4,437,10,2.84
Adam Daghim,Wolfsburg,German Bundesliga,RW,Forward,DEN,20,35.6,538,8,4.45
Adam Dźwigała,St. Pauli,German Bundesliga,CB,Defender,POL,30,36.8,453,7,5.26
Adam Gabriel,Midtjylland,UEFA Europa League,RB,Defender,CZE,24,3.7,21,1,3.7
Adam Gnezda Čerin,Panathinaikos,UEFA Europa League,LM,Midfielder,SVN,26,21.4,289,4,5.35
Adam Hložek,Hoffenheim,German Bundesliga,LM,Midfielder,CZE,23,0.3,11,1,0.3
Adam Karabec,Lyon,"French Ligue 1, UEFA Europa League",RW,Forward,CZE,22,81.1,1014,18,4.51
Adam Kölle,Heidenheim,German Bundesliga,CB,Defender,GER,19,12.0,76,5,2.4
Adam Lundqvist,Häcken,UEFA Europa Conference League,LB,Defender,SWE,31,17.0,354,4,4.25
Adam Marušić,Lazio,Italian Serie A,LB,Defender,MNE,33,57.4,1042,13,4.42
Adam Masina,Torino,Italian Serie A,CB,Defender,MAR,31,14.9,222,4,3.72
Adam Matthews,Shamrock Rovers,UEFA Europa Conference League,WB,Midfielder,WAL,33,8.3,102,2,4.15
Adam Obert,Cagliari,Italian Serie A,CB,Defender,SVK,23,59.9,978,12,4.99
Adam Sevinsky,Sparta Prague,UEFA Europa Conference League,CB,Defender,CZE,21,15.8,270,3,5.27
Adam Smith,Bournemouth,English Premier League,RB,Defender,ENG,34,18.5,387,7,2.64
Adam Wharton,Crystal Palace,"English Premier League, UEFA Europa Conference League",CM,Midfielder,ENG,21,85.2,1223,17,5.01
Adama Boiro,Athletic Club,"Spanish La Liga, UEFA Champions League",LB,Defender,ESP,23,24.0,405,6,4.0
Adama Camara,Paris FC,French Ligue 1,LM,Midfielder,FRA,29,55.2,975,13,4.25
Adama Traoré,Fulham,English Premier League,RW,Forward,ESP,29,35.5,251,10,3.55
Adamu Alhassan,Shkëndija 79,UEFA Europa Conference League,DM,Midfielder,NGA,25,23.8,307,5,4.76
Adem Zorgane,Union SG,UEFA Champions League,CM,Midfielder,ALG,25,25.5,443,5,5.1
Ademola Lookman,Atalanta,"Italian Serie A, UEFA Champions League",AM,Forward,NGA,28,86.8,969,14,6.2
Adil Aouchiche,Aberdeen,UEFA Europa Conference League,CM,Midfielder,FRA,23,15.8,199,3,5.27
Adil Hamdani,Lyon,French Ligue 1,RW,Forward,FRA,16,2.6,6,1,2.6
Adilet Sadybekov,Qaırat Almaty,UEFA Champions League,DM,Midfielder,KAZ,23,8.0,44,3,2.67
Adnan Januzaj,Sevilla,Spanish La Liga,RW,Forward,BEL,30,28.6,182,7,4.09
Adrian Beck,Heidenheim,German Bundesliga,AM,Forward,GER,28,37.1,459,11,3.37
Adrian Benedyczak,Parma,Italian Serie A,AM,Forward,POL,25,22.1,216,8,2.76
Adrian Bernabe,Parma,Italian Serie A,CM,Midfielder,ESP,24,69.8,1030,13,5.37
Adrian Blake,Utrecht,UEFA Europa League,LW,Forward,ENG,20,17.1,155,4,4.28
Adrian Leon Barišić,Basel,UEFA Europa League,CB,Defender,BIH,24,15.4,271,4,3.85
Adrian Rus,CS U Craiova,UEFA Europa Conference League,CB,Defender,ROU,29,18.1,360,4,4.53
Adrian Skogmar,Malmö,UEFA Europa League,CM,Midfielder,SWE,20,18.0,349,5,3.6
Adrian Svanbäck,Häcken,UEFA Europa Conference League,RW,Forward,FIN,21,19.4,233,4,4.85
Adrian Zeljković,Viktoria Plzeň,UEFA Europa League,CM,Midfielder,SVN,23,13.5,78,5,2.7
Adrian Șut,FCSB,UEFA Europa League,DM,Midfielder,ROU,26,11.7,180,3,3.9
Adriano,Raków,UEFA Europa Conference League,LM,Midfielder,BRA,23,20.9,248,4,5.22
Adrien Rabiot,"Marseille, Milan","French Ligue 1, Italian Serie A",CM,Midfielder,FRA,30,31.6,630,7,4.51
Adrien Tameze,Torino,Italian Serie A,CB,Defender,CMR,31,39.3,599,13,3.02
Adrien Thomasson,Lens,French Ligue 1,CM,Midfielder,FRA,31,68.2,1253,14,4.87
Adrien Truffert,Bournemouth,English Premier League,LB,Defender,FRA,24,85.5,1322,15,5.7
Adrià Altimira,Villarreal,Spanish La Liga,RB,Defender,ESP,24,6.3,9,1,6.3
Adrià Pedrosa,"Elche, Sevilla",Spanish La Liga,LB,Defender,ESP,27,51.6,495,11,4.69
Adrián Liso,Getafe,Spanish La Liga,AM,Forward,ESP,20,42.0,998,12,3.5
Adrián Palacios,Genk,UEFA Europa League,LB,Defender,VEN,21,2.3,1,1,2.3
Adrián de la Fuente,Levante,Spanish La Liga,CB,Defender,ESP,26,47.8,862,12,3.98
Afimico Pululu,Jagiellonia,UEFA Europa Conference League,AM,Forward,NAN,26,21.7,346,4,5.42
Afonso Bastardo,Lyon,French Ligue 1,LW,Forward,POR,20,4.2,25,2,2.1
Afonso Moreira,Lyon,"French Ligue 1, UEFA Europa League",LW,Forward,POR,20,60.8,532,14,4.34
Agon Sadiku,KuPS,UEFA Europa Conference League,AM,Forward,FIN,22,5.4,36,3,1.8
Aguibou Camara,Ludogorets,UEFA Europa League,AM,Forward,GUI,24,3.3,58,1,3.3
Ahmed Kutucu,Galatasaray,UEFA Champions League,RW,Forward,TUR,25,2.4,24,1,2.4
Ahmed Touba,Panathinaikos,UEFA Europa League,CB,Defender,ALG,27,23.2,450,5,4.64
Aihen Muñoz,Real Sociedad,Spanish La Liga,LB,Defender,ESP,28,43.4,463,10,4.34
Aiman Dardari,Augsburg,German Bundesliga,AM,Forward,LUX,20,3.5,21,2,1.75
Aimar Oroz,Osasuna,Spanish La Liga,CM,Forward,ESP,24,37.2,551,8,4.65
Aimé Steven Nsimba Labe,CS U Craiova,UEFA Europa Conference League,AM,Forward,FRA,29,11.3,179,4,2.82
Ainsley Maitland-Niles,Lyon,"French Ligue 1, UEFA Europa League",RB,Defender,ENG,28,97.0,1487,20,4.85
Aitor Paredes,Athletic Club,"Spanish La Liga, UEFA Champions League",CB,Defender,ESP,25,58.5,1180,14,4.18
Aitor Ruibal,Betis,"Spanish La Liga, UEFA Europa League",RB,Defender,ESP,29,63.0,784,14,4.5
Akor Adams,Sevilla,Spanish La Liga,AM,Forward,NGA,25,45.4,761,13,3.49
Alaa Ghram,Shakhtar,UEFA Europa Conference League,CB,Defender,TUN,24,9.6,181,3,3.2
Aladji Bamba,Monaco,"French Ligue 1, UEFA Champions League",CM,Midfielder,FRA,19,19.8,176,6,3.3
Alan Matturro,Levante,Spanish La Liga,LB,Defender,URU,21,11.2,71,3,3.73
Alan Varela,Porto,UEFA Europa League,CM,Midfielder,ARG,24,12.4,167,3,4.13
Alan Virginius,Young Boys,UEFA Europa League,LM,Forward,FRA,22,6.2,74,2,3.1
Alasana Yirajang,Slovan Bratislava,UEFA Europa Conference League,AM,Defender,GAM,21,11.3,151,4,2.82
Alban Ajdini,Lausanne-Sport,UEFA Europa Conference League,AM,Forward,KVX,26,16.6,141,4,4.15
Albert Dabiqaj,KF Drita,UEFA Europa Conference League,CM,Midfielder,KVX,29,15.2,360,4,3.8
Albert Grønbaek,Genoa,Italian Serie A,CM,Midfielder,DEN,24,11.9,90,3,3.97
Albert Guðmundsson,Fiorentina,"Italian Serie A, UEFA Europa Conference League",AM,Forward,ISL,28,51.8,835,15,3.45
Albert Sambi Lokonga,Hamburger SV,German Bundesliga,CM,Midfielder,BEL,26,42.0,650,10,4.2
Alberto Grassi,Cremonese,Italian Serie A,CM,Midfielder,ITA,30,27.8,434,9,3.09
Alberto Moleiro,Villarreal,"Spanish La Liga, UEFA Champions League",LM,Midfielder,ESP,22,86.4,1046,20,4.32
Alberto Moreno,Como,Italian Serie A,LB,Defender,ESP,33,12.6,247,3,4.2
Alberto Reina,Oviedo,Spanish La Liga,AM,Midfielder,ESP,28,50.8,643,14,3.63
Alberto costa,Porto,UEFA Europa League,RB,Defender,POR,22,23.7,233,4,5.92
Albian Ajeti,Basel,UEFA Europa League,AM,Forward,SUI,28,10.9,262,4,2.72
Albian Hajdari,Hoffenheim,German Bundesliga,CB,Defender,SUI,22,59.1,855,11,5.37
Albion Rrahmani,Sparta Prague,UEFA Europa Conference League,LW,Forward,KVX,25,12.8,139,3,4.27
Aleix Febas,Elche,Spanish La Liga,CM,Midfielder,ESP,29,77.9,1350,15,5.19
Aleix García,Leverkusen,"German Bundesliga, UEFA Champions League",CM,Midfielder,ESP,28,88.5,1465,18,4.92
Alejandro Balde,Barcelona,"Spanish La Liga, UEFA Champions League",LB,Defender,ESP,22,78.6,1117,16,4.91
Alejandro Francés,Girona,Spanish La Liga,CB,Defender,ESP,23,31.3,349,7,4.47
Alejandro Garnacho,Chelsea,"English Premier League, UEFA Champions League",LW,Forward,ARG,21,66.4,680,13,5.11
Alejandro Jiménez,Milan,Italian Serie A,LB,Defender,ESP,20,2.9,45,1,2.9
Alejandro Pozo Pozo,Jagiellonia,UEFA Europa Conference League,RW,Forward,ESP,26,15.8,269,4,3.95
Alejandro Rego,Athletic Club,"Spanish La Liga, UEFA Champions League",DM,Midfielder,ESP,22,68.2,702,16,4.26
Alejandro Rodriguez,Lyon,UEFA Europa League,AM,Forward,POR,17,0.1,14,1,0.1
Alejo Sarco,Leverkusen,German Bundesliga,AM,Forward,ARG,19,4.6,35,1,4.6
Aleksa Terzić,RB Salzburg,UEFA Europa League,LB,Defender,SRB,26,19.9,351,4,4.97
Aleksandar Katai,Red Star,UEFA Europa League,AM,Forward,SRB,34,5.1,23,3,1.7
Aleksandar Pavlovic,Bayern Munich,"German Bundesliga, UEFA Champions League",DM,Midfielder,GER,21,81.7,997,16,5.11
Aleksandar Pešić,Ferencváros,UEFA Europa League,AM,Forward,SRB,33,6.4,86,2,3.2
Aleksandar Stanković,Club Brugge,UEFA Champions League,DM,Midfielder,SRB,20,19.9,433,5,3.98
Aleksandr Golovin,Monaco,"French Ligue 1, UEFA Champions League",CM,Forward,RUS,29,66.6,774,12,5.55
Aleksandr Shirobokov,Qaırat Almaty,UEFA Champions League,CB,Defender,KAZ,22,10.9,180,2,5.45
Aleksandër Trumci,Shkëndija 79,UEFA Europa Conference League,RB,Defender,ALB,24,22.0,450,5,4.4
Alen Grgić,FC Noah,UEFA Europa Conference League,LM,Forward,CRO,31,5.1,117,2,2.55
Alen Mustafić,Slovan Bratislava,UEFA Europa Conference League,AM,Forward,BIH,26,6.0,25,2,3.0
Alessandro Bastoni,Inter,"Italian Serie A, UEFA Champions League",CB,Defender,ITA,26,89.2,1461,17,5.25
Alessandro Bianco,PAOK,UEFA Europa League,DM,Midfielder,ITA,23,16.0,260,4,4.0
Alessandro Buongiorno,Napoli,"Italian Serie A, UEFA Champions League",CB,Defender,ITA,26,62.9,1195,15,4.19
Alessandro Circati,Parma,Italian Serie A,CB,Defender,AUS,22,42.3,850,10,4.23
Alessandro Deiola,Cagliari,Italian Serie A,CM,Midfielder,ITA,30,35.9,689,9,3.99
Alessandro Di Pardo,Cagliari,Italian Serie A,WB,Midfielder,ITA,26,6.9,54,3,2.3
Alessandro Marcandalli,Genoa,Italian Serie A,CB,Defender,ITA,23,18.3,504,7,2.61
Alessandro Vogliacco,PAOK,UEFA Europa League,CB,Defender,ITA,27,6.5,163,2,3.25
Alessandro Zanoli,Udinese,Italian Serie A,RB,Defender,ITA,25,40.3,645,10,4.03
Alessio Castro-Montes,Köln,German Bundesliga,LB,Defender,BEL,28,17.3,93,4,4.32
Alessio Romagnoli,Lazio,Italian Serie A,CB,Defender,ITA,30,53.3,1019,12,4.44
Alessio Zerbin,Cremonese,Italian Serie A,WB,Midfielder,ITA,26,37.4,558,9,4.16
Alex Baena,Atlético Madrid,"Spanish La Liga, UEFA Champions League",LM,Midfielder,ESP,24,61.3,707,13,4.72
Alex Douglas,Lech Poznań,UEFA Europa Conference League,CB,Defender,SWE,24,3.5,90,1,3.5
Alex Iwobi,Fulham,English Premier League,LW,Forward,NGA,29,80.6,1251,15,5.37
Alex Král,Union Berlin,German Bundesliga,CM,Midfielder,CZE,27,30.4,222,9,3.38
Alex Scott,Bournemouth,English Premier League,CM,Midfielder,ENG,22,67.5,986,15,4.5
Alex Sola,Getafe,Spanish La Liga,AM,Forward,ESP,26,0.8,13,1,0.8
Alex Tóth,Ferencváros,UEFA Europa League,CM,Midfielder,HUN,20,16.0,249,4,4.0
Alexander Isak,Liverpool,"English Premier League, UEFA Champions League",AM,Forward,SWE,26,47.9,639,12,3.99
Alexander Jensen,Aberdeen,UEFA Europa Conference League,WB,Midfielder,DEN,24,11.8,255,3,3.93
Alexander Legendre,Rennes,French Ligue 1,WB,Midfielder,ECU,17,2.2,9,1,2.2
Alexander Prass,Hoffenheim,German Bundesliga,LW,Forward,AUT,24,41.4,266,11,3.76
Alexander Røssing-Lelesiit,Hamburger SV,German Bundesliga,LW,Forward,NOR,18,23.6,284,8,2.95
Alexander Sørloth,Atlético Madrid,"Spanish La Liga, UEFA Champions League",AM,Forward,NOR,30,69.4,796,19,3.65
Alexandr Mrynskiy,Qaırat Almaty,UEFA Champions League,RB,Defender,KAZ,21,19.2,440,5,3.84
Alexandre Alemão,Rayo Vallecano,"Spanish La Liga, UEFA Europa Conference League",AM,Forward,BRA,27,38.7,707,14,2.76
Alexandre Penetra,AZ Alkmaar,UEFA Europa Conference League,CB,Defender,POR,24,11.4,181,3,3.8
Alexandru Cicâldău,CS U Craiova,UEFA Europa Conference League,CM,Midfielder,ROU,28,14.7,288,4,3.68
Alexandru Crețu,CS U Craiova,UEFA Europa Conference League,CM,Midfielder,ROU,33,7.3,67,3,2.43
Alexandru Pantea,FCSB,UEFA Europa League,RB,Defender,ROU,22,20.0,277,4,5.0
Alexis Claude-Maurice,Augsburg,German Bundesliga,AM,Forward,FRA,27,46.1,575,10,4.61
Alexis Mac Allister,Liverpool,"English Premier League, UEFA Champions League",DM,Midfielder,ARG,26,82.1,1156,19,4.32
Alexis Saelemaekers,Milan,Italian Serie A,WB,Midfielder,BEL,26,75.8,1129,13,5.83
Alexis Sánchez,Sevilla,Spanish La Liga,AM,Forward,CHI,36,44.8,448,10,4.48
Alexis Vossah,Toulouse,French Ligue 1,CM,Midfielder,FRA,17,29.5,400,11,2.68
Alexsandro Ribeiro,Lille,French Ligue 1,CB,Defender,BRA,26,22.1,314,4,5.52
Alfie Dorrington,Aberdeen,UEFA Europa Conference League,CB,Defender,ENG,20,8.9,149,2,4.45
Alfon,Sevilla,Spanish La Liga,LW,Forward,ESP,26,32.0,305,9,3.56
Alfonso Espino,Rayo Vallecano,"Spanish La Liga, UEFA Europa Conference League",LB,Defender,URU,33,52.9,569,13,4.07
Alfonso Pedraza,Villarreal,"Spanish La Liga, UEFA Champions League",LB,Defender,ESP,29,55.0,782,14,3.93
Ali Abdi,Nice,"French Ligue 1, UEFA Europa League",WB,Midfielder,TUN,31,47.4,663,13,3.65
Ali Coote,Shelbourne FC,UEFA Europa Conference League,CM,Midfielder,SCO,27,10.6,89,4,2.65
Ali Dembélé,Torino,Italian Serie A,WB,Midfielder,FRA,21,1.2,13,1,1.2
Ali Gholizadeh,Lech Poznań,UEFA Europa Conference League,RW,Forward,IRN,29,4.9,58,1,4.9
Ali Houary,Elche,Spanish La Liga,CM,Midfielder,MAR,20,9.4,123,2,4.7
Alidu Seidu,Rennes,French Ligue 1,CB,Defender,GHA,25,43.5,436,9,4.83
Alieu Fadera,Sassuolo,Italian Serie A,LW,Forward,GAM,24,50.1,455,13,3.85
Alieu Njie,Torino,Italian Serie A,AM,Forward,SWE,20,5.8,16,2,2.9
Alimami Gory,Paris FC,French Ligue 1,LW,Forward,MLI,29,18.6,212,7,2.66
Alimani Gory,Paris FC,French Ligue 1,AM,Forward,MLI,28,2.9,57,2,1.45
Aliou Thiaré,Dynamo Kyiv,UEFA Europa Conference League,CB,Defender,SEN,21,21.2,360,4,5.3
Alisson Santos,Sporting CP,UEFA Champions League,LW,Forward,BRA,23,21.0,90,5,4.2
Alistair Johnston,Celtic,UEFA Europa League,RB,Defender,CAN,27,4.3,25,1,4.3
Aljoscha Kemlein,Union Berlin,German Bundesliga,CM,Midfielder,GER,21,51.5,611,11,4.68
Allan Nyom,Getafe,Spanish La Liga,AM,Defender,CMR,37,7.7,124,5,1.54
Almir Ajzeraj,KF Drita,UEFA Europa Conference League,AM,Forward,KVX,28,17.9,292,4,4.47
Almoatasem Al Musrati,Hellas Verona,Italian Serie A,CM,Midfielder,LBY,29,18.7,201,5,3.74
Alonzo Engwanda,Utrecht,UEFA Europa League,CM,Midfielder,BEL,22,14.6,419,5,2.92
Alpha Amadou Touré,Metz,French Ligue 1,LB,Defender,SEN,19,14.6,82,3,4.87
Alpha Diounkou,AC Omonia,UEFA Europa Conference League,RB,Defender,SEN,24,10.3,102,2,5.15
Alpha Touré,Metz,French Ligue 1,DM,Midfielder,SEN,19,46.2,656,12,3.85
Alvyn Sanches,Young Boys,UEFA Europa League,AM,Forward,SUI,22,9.5,93,2,4.75
Alyaksandr Martynovich,Qaırat Almaty,UEFA Champions League,CB,Defender,BLR,38,15.3,270,3,5.1
Amad Diallo,Manchester Utd,English Premier League,WB,Midfielder,CIV,23,69.1,1023,13,5.32
Amadou Onana,Aston Villa,"English Premier League, UEFA Europa League",DM,Midfielder,BEL,24,57.5,882,13,4.42
Amady Camara,Nantes,French Ligue 1,RW,Forward,MLI,20,23.7,153,8,2.96
Amar Dedić,Benfica,UEFA Champions League,RB,Defender,BIH,23,23.6,354,5,4.72
Amar Memić,Viktoria Plzeň,UEFA Europa League,WB,Midfielder,BIH,24,25.8,421,5,5.16
Ameen Al-Dakhil,Stuttgart,German Bundesliga,CB,Defender,BEL,23,20.8,309,5,4.16
Amer Gojak,Rijeka,UEFA Europa Conference League,LM,Midfielder,BIH,28,10.2,96,2,5.1
Amin Sarr,Hellas Verona,Italian Serie A,AM,Forward,SWE,24,44.4,357,14,3.17
Amin-Elias Gröller,Rapid Wien,UEFA Europa Conference League,CB,Defender,AUT,20,2.0,10,1,2.0
Amine Adli,Bournemouth,English Premier League,RW,Forward,MAR,25,44.0,394,12,3.67
Amine El Ouazzani,Braga,UEFA Europa League,AM,Forward,MAR,24,11.0,242,4,2.75
Amine Gouiri,Marseille,"French Ligue 1, UEFA Champions League",AM,Forward,ALG,25,40.5,392,7,5.79
Amine Khammas,AC Omonia,UEFA Europa Conference League,LB,Defender,MAR,26,4.6,90,1,4.6
Amir Richardson,Fiorentina,Italian Serie A,AM,Forward,MAR,23,4.2,12,1,4.2
Amir Rrahmani,Napoli,"Italian Serie A, UEFA Champions League",CB,Defender,KVX,31,42.6,783,9,4.73
Amor Layouni,Häcken,UEFA Europa Conference League,LW,Forward,TUN,33,11.6,194,3,3.87
Amos Pieper,Werder Bremen,German Bundesliga,CB,Defender,GER,27,41.9,585,7,5.99
Anan Khalaili,Union SG,UEFA Champions League,WB,Midfielder,ISR,21,29.3,431,5,5.86
Anass Salah-Eddine,PSV Eindhoven,UEFA Champions League,LB,Defender,NED,23,22.8,374,5,4.56
Anass Zaroury,Panathinaikos,UEFA Europa League,LM,Forward,MAR,25,29.9,361,5,5.98
Anastasios Bakasetas,Panathinaikos,UEFA Europa League,AM,Forward,GRE,32,20.7,243,4,5.18
Anastasios Chatzigiovannis,AC Omonia,UEFA Europa Conference League,LM,Forward,GRE,28,19.2,134,4,4.8
Anastasios Douvikas,Como,Italian Serie A,AM,Forward,GRE,26,50.5,624,14,3.61
Ander Barrenetxea,Real Sociedad,Spanish La Liga,LM,Midfielder,ESP,23,80.0,934,14,5.71
Ander Guevara,Alavés,Spanish La Liga,CM,Midfielder,ESP,28,35.6,347,10,3.56
Anders Christiansen,Malmö,UEFA Europa League,AM,Forward,DEN,35,7.1,111,3,2.37
Anders Klynge,Bodø/Glimt,UEFA Champions League,CB,Defender,DEN,25,2.4,4,2,1.2
Anderson,Pafos FC,UEFA Champions League,AM,Forward,BRA,28,11.3,144,4,2.82
Andoni Gorosabel,Athletic Club,"Spanish La Liga, UEFA Champions League",RB,Defender,ESP,29,46.2,597,11,4.2
Andraž Šporar,Slovan Bratislava,UEFA Europa Conference League,AM,Forward,SVN,31,10.4,218,3,3.47
Andre Annous,Arsenal,UEFA Champions League,AM,Forward,ENG,17,1.0,10,1,1.0
Andre-Frank Zambo Anguissa,Napoli,"Italian Serie A, UEFA Champions League",CM,Midfielder,CMR,29,65.2,1273,15,4.35
Andrea Belotti,Cagliari,Italian Serie A,AM,Forward,ITA,31,13.2,189,3,4.4
Andrea Cambiaso,Juventus,"Italian Serie A, UEFA Champions League",WB,Midfielder,ITA,25,88.1,1358,17,5.18
Andrea Ghion,Sassuolo,Italian Serie A,LW,Forward,ITA,25,0.4,10,1,0.4
