Player,Team,League,Position,General Position,Nationality,Age,Rating,Minutes,Matches,Average Rating
Aarón Escandell,Oviedo,Spanish La Liga,GK,Goalkeeper,ESP,29,26.51,360,4,6.63
Adrian Šemper,Pisa,Italian Serie A,GK,Goalkeeper,CRO,27,19.61,270,3,6.54
Alex Meret,Napoli,Italian Serie A,GK,Goalkeeper,ITA,28,12.99,180,2,6.5
Alexander Nübel,Stuttgart,German Bundesliga,GK,Goalkeeper,GER,28,19.32,270,3,6.44
Alisson,Liverpool,English Premier League,GK,Goalkeeper,BRA,32,25.95,360,4,6.49
Altay Bayındır,Manchester Utd,English Premier League,GK,Goalkeeper,TUR,27,25.51,360,4,6.38
Anatolii Trubin,Benfica,UEFA Champions League,GK,Goalkeeper,UKR,24,6.25,90,1,6.25
Anthony Lopes,Nantes,French Ligue 1,GK,Goalkeeper,POR,34,26.46,360,4,6.62
Antonio Sivera,Alavés,Spanish La Liga,GK,Goalkeeper,ESP,29,28.01,360,4,7.0
Arijanet Muric,Sassuolo,Italian Serie A,GK,Goalkeeper,KVX,26,13.47,180,2,6.74
Augusto Batalla,Rayo Vallecano,Spanish La Liga,GK,Goalkeeper,ARG,29,26.37,360,4,6.59
Bart Verbruggen,Brighton,English Premier League,GK,Goalkeeper,NED,23,24.75,360,4,6.19
Berke Özer,Lille,French Ligue 1,GK,Goalkeeper,TUR,25,25.8,360,4,6.45
Bernd Leno,Fulham,English Premier League,GK,Goalkeeper,GER,33,26.58,360,4,6.64
Bingourou Kamara,Lorient,French Ligue 1,GK,Goalkeeper,SEN,28,18.54,270,3,6.18
Brice Samba,Rennes,French Ligue 1,GK,Goalkeeper,FRA,31,26.3,360,4,6.58
Caoimhín Kelleher,Brentford,English Premier League,GK,Goalkeeper,IRL,26,25.75,360,4,6.44
Daniel Heuer Fernandes,Hamburger SV,German Bundesliga,GK,Goalkeeper,POR,32,19.08,270,3,6.36
David Raya,Arsenal,"English Premier League, UEFA Champions League",GK,Goalkeeper,ESP,30,34.73,450,5,6.95
David Soria,Getafe,Spanish La Liga,GK,Goalkeeper,ESP,32,26.22,360,4,6.56
David de Gea,Fiorentina,Italian Serie A,GK,Goalkeeper,ESP,34,19.96,270,3,6.65
Dean Henderson,Crystal Palace,English Premier League,GK,Goalkeeper,ENG,28,27.22,360,4,6.8
Diant Ramaj,Heidenheim,German Bundesliga,GK,Goalkeeper,GER,23,19.42,270,3,6.47
Donovan Léon,Auxerre,French Ligue 1,GK,Goalkeeper,GUF,32,12.5,134,2,6.25
Elia Caprile,Cagliari,Italian Serie A,GK,Goalkeeper,ITA,24,19.98,270,3,6.66
Emil Audero,Cremonese,Italian Serie A,GK,Goalkeeper,IDN,28,20.06,270,3,6.69
Emiliano Martínez,Aston Villa,English Premier League,GK,Goalkeeper,ARG,33,13.42,180,2,6.71
Finn Dahmen,Augsburg,German Bundesliga,GK,Goalkeeper,GER,27,19.98,270,3,6.66
Franco Israel,Torino,Italian Serie A,GK,Goalkeeper,URU,25,20.12,270,3,6.71
Frederik Rønnow,Union Berlin,German Bundesliga,GK,Goalkeeper,DEN,33,19.55,270,3,6.52
Gerónimo Rulli,Marseille,"French Ligue 1, UEFA Champions League",GK,Goalkeeper,ARG,33,26.4,360,4,6.6
Gianluigi Donnarumma,Manchester City,English Premier League,GK,Goalkeeper,ITA,26,6.85,90,1,6.85
Gregor Kobel,Dortmund,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,SUI,27,25.39,360,4,6.35
Grégoire Coudert,Brest,French Ligue 1,GK,Goalkeeper,FRA,26,12.83,122,2,6.42
Guglielmo Vicario,Tottenham,"English Premier League, UEFA Champions League",GK,Goalkeeper,ITA,28,35.57,450,5,7.11
Guillaume Restes,Toulouse,French Ligue 1,GK,Goalkeeper,FRA,20,25.57,360,4,6.39
Hervé Koffi,Angers,French Ligue 1,GK,Goalkeeper,BFA,28,27.24,360,4,6.81
Ionuț Radu,Celta Vigo,Spanish La Liga,GK,Goalkeeper,ROU,28,31.52,450,5,6.3
Ivan Provedel,Lazio,Italian Serie A,GK,Goalkeeper,ITA,31,19.59,270,3,6.53
James Trafford,Manchester City,English Premier League,GK,Goalkeeper,ENG,22,20.73,270,3,6.91
Jan Oblak,Atlético Madrid,Spanish La Liga,GK,Goalkeeper,SVN,32,25.52,360,4,6.38
Jean Butez,Como,Italian Serie A,GK,Goalkeeper,FRA,30,19.67,270,3,6.56
Jeffrey De Lange,Marseille,French Ligue 1,GK,Goalkeeper,NED,27,6.41,90,1,6.41
Joan García,Barcelona,Spanish La Liga,GK,Goalkeeper,ESP,24,26.87,360,4,6.72
Jonathan Fischer,Metz,French Ligue 1,GK,Goalkeeper,DEN,23,25.62,360,4,6.4
Jordan Pickford,Everton,English Premier League,GK,Goalkeeper,ENG,31,27.22,360,4,6.8
José Sá,Wolves,English Premier League,GK,Goalkeeper,POR,32,18.25,270,3,6.08
Julen Agirrezabala,Valencia,Spanish La Liga,GK,Goalkeeper,ESP,24,25.53,360,4,6.38
Kamil Grabara,Wolfsburg,German Bundesliga,GK,Goalkeeper,POL,26,18.88,270,3,6.29
Karl Darlow,Leeds United,English Premier League,GK,Goalkeeper,WAL,34,6.52,90,1,6.52
Karl-Johan Johnsson,Strasbourg,French Ligue 1,GK,Goalkeeper,SWE,35,6.85,90,1,6.85
Kevin Trapp,Paris FC,French Ligue 1,GK,Goalkeeper,GER,35,5.84,90,1,5.84
Kjell Scherpen,Union SG,UEFA Champions League,GK,Goalkeeper,NED,25,7.06,90,1,7.06
Krapyvtsov Vladyslav,Girona,Spanish La Liga,GK,Goalkeeper,UKR,20,12.07,136,2,6.04
Leo Román,Mallorca,Spanish La Liga,GK,Goalkeeper,ESP,25,24.61,360,4,6.15
Lorenzo Montipò,Hellas Verona,Italian Serie A,GK,Goalkeeper,ITA,29,19.2,270,3,6.4
Lucas Chevalier,Paris S-G,French Ligue 1,GK,Goalkeeper,FRA,23,25.59,360,4,6.4
Lucas Perri,Leeds United,English Premier League,GK,Goalkeeper,BRA,27,19.32,270,3,6.44
Luiz Lúcio Reis Júnior,Villarreal,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,BRA,24,31.89,450,5,6.38
Lukáš Hrádecký,Monaco,French Ligue 1,GK,Goalkeeper,FIN,35,18.33,258,3,6.11
Mads Hermansen,West Ham,English Premier League,GK,Goalkeeper,DEN,25,25.32,360,4,6.33
Manuel Neuer,Bayern Munich,German Bundesliga,GK,Goalkeeper,GER,39,19.34,270,3,6.45
Marco Bizot,Aston Villa,English Premier League,GK,Goalkeeper,NED,34,13.8,180,2,6.9
Marco Carnesecchi,Atalanta,Italian Serie A,GK,Goalkeeper,ITA,25,18.87,270,3,6.29
