Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Defensive Actions Outside Penalty Area,Penalties Winner,Efficiency,Matches
AJ Marcucci,USA,Goalkeeper,NY Red Bulls,26,1999,2,2,180,2,5,3,0,0,0,0,0,1.4,5,24,59,10,10,17,1,4,0,-2.0,1
Abu Kamara,ITA,Goalkeeper,Padova,28,1997,9,9,810,11,36,24,3,2,1,1,0,12.5,38,133,230,29,62,163,14,6,1,-11.0,1
Adam Beaudry,USA,Goalkeeper,Colorado Rapids,19,2006,1,1,90,3,5,3,0,0,0,0,0,2.2,4,18,21,6,6,4,0,0,0,-3.0,1
Agustín Marchesín,ARG,Goalkeeper,Boca Juniors,37,1988,25,25,2249,19,80,62,11,2,2,0,0,20.9,85,231,520,117,183,340,17,14,0,-19.0,1
Agustín Rossi,ARG,Goalkeeper,Flamengo,30,1995,40,40,3630,21,117,94,22,5,2,3,0,27.3,121,304,1040,142,135,446,45,36,3,-21.0,2
Alan Aguerre,ARG,Goalkeeper,Cen. Córdoba–SdE,35,1990,33,33,2970,36,113,78,11,2,2,0,0,31.7,121,385,487,87,274,478,17,12,0,-36.0,2
Aldair Quintana,COL,Goalkeeper,CA Bucaramanga,31,1994,6,6,540,10,34,23,1,2,1,1,0,10.5,26,64,126,33,43,80,4,6,1,-10.0,1
Alec Smir,USA,Goalkeeper,Minnesota Utd,26,1999,2,1,161,3,9,6,0,0,0,0,0,3.0,10,38,40,3,11,32,0,2,0,-3.0,1
Alessandro Confente,ITA,Goalkeeper,Juve Stabia,27,1998,9,9,810,10,28,18,3,2,2,0,0,10.1,39,110,299,28,46,137,10,7,0,-10.0,1
Alex McCarthy,ENG,Goalkeeper,Southampton,35,1989,6,6,540,8,20,12,1,0,0,0,0,8.4,27,88,144,29,46,82,4,5,0,-8.0,1
Alex Muralha,BRA,Goalkeeper,Mirassol,35,1989,7,7,630,10,28,18,0,1,1,0,0,8.8,14,55,160,27,38,120,5,16,0,-10.0,1
Alex Palmer,ENG,Goalkeeper,Ipswich Town,29,1996,10,10,833,10,26,17,1,2,2,0,0,7.6,31,73,288,46,33,105,4,20,0,-10.0,1
Alexander Domínguez,ECU,Goalkeeper,LDU de Quito,38,1987,1,1,90,0,3,3,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,1
Alexis Martin Arias,ARG,Goalkeeper,Cerro Porteño,33,1992,5,5,450,7,26,19,2,1,1,0,0,7.0,37,81,100,15,56,82,1,2,0,-7.0,1
Alexis Villa,ECU,Goalkeeper,LDU de Quito,24,2001,1,0,14,0,0,0,1,0,0,0,0,0.0,2,6,4,0,2,2,0,0,0,0.0,1
Aljaž Ivačič,SVN,Goalkeeper,NE Revolution,31,1993,24,24,2160,35,101,66,8,4,4,0,0,31.3,83,277,438,57,198,293,9,11,0,-35.0,1
Anatolii Trubin,UKR,Goalkeeper,Benfica,24,2001,7,7,630,3,19,16,4,0,0,0,0,4.5,18,62,118,22,53,72,2,5,0,-3.0,1
Andre Blake,JAM,Goalkeeper,Philadelphia Union,34,1990,21,21,1827,17,64,47,8,2,2,0,0,21.5,101,218,446,60,98,213,9,29,0,-17.0,1
