Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Defensive Actions Outside Penalty Area,Penalties Winner,Efficiency,Matches,% Saves,% Long Passes,% Crosses Stopped,PSxG/Save
AJ Marcucci,USA,Goalkeeper,NY Red Bulls,26,1999,2,2,180,73,4,4,12,18,21,39,46,8,14,42,74,81,23,4,29,87,37,73,84,17,50,29,50
Abu Kamara,ITA,Goalkeeper,Padova,28,1997,9,9,810,57,41,39,68,75,61,92,46,57,49,66,55,30,55,88,94,38,91,57,43,42,50,94,50
Adam Beaudry,USA,Goalkeeper,Colorado Rapids,19,2006,1,1,90,3,72,58,12,18,21,39,46,93,44,83,28,94,39,0,5,6,37,3,94,17,50,5,50
Agustín Marchesín,ARG,Goalkeeper,Boca Juniors,37,1988,25,25,2249,85,17,29,84,43,53,39,46,13,29,22,26,73,63,47,51,32,37,85,11,82,50,51,50
Agustín Rossi,ARG,Goalkeeper,Flamengo,30,1995,40,40,3630,93,9,23,90,53,46,86,46,7,21,12,56,38,5,18,82,50,83,93,16,89,50,82,50
Alan Aguerre,ARG,Goalkeeper,Cen. Córdoba–SdE,35,1990,33,33,2970,65,23,25,68,40,47,39,46,21,36,40,5,16,80,59,31,20,37,65,18,51,50,31,50
Aldair Quintana,COL,Goalkeeper,CA Bucaramanga,31,1994,6,6,540,30,86,83,37,87,73,98,46,79,52,33,28,89,62,44,47,56,96,30,60,45,50,47,50
Alec Smir,USA,Goalkeeper,Minnesota Utd,26,1999,2,1,161,28,74,71,12,18,21,39,46,75,76,91,37,4,41,86,5,61,37,28,88,36,50,5,50
Alessandro Confente,ITA,Goalkeeper,Juve Stabia,27,1998,9,9,810,64,15,12,68,75,81,39,46,31,52,45,85,27,24,67,81,45,37,64,43,30,50,81,50
Alex McCarthy,ENG,Goalkeeper,Southampton,35,1989,6,6,540,50,21,12,37,18,21,39,46,58,55,66,46,76,69,48,47,48,37,50,60,18,50,47,50
Alex Muralha,BRA,Goalkeeper,Mirassol,35,1989,7,7,630,42,41,33,12,58,67,39,46,45,8,13,40,49,30,82,54,91,37,42,55,29,50,54,50
Alex Palmer,ENG,Goalkeeper,Ipswich Town,29,1996,10,10,833,66,7,8,29,75,81,39,46,12,28,13,78,79,6,20,24,90,37,66,43,33,50,24,50
Alexander Domínguez,ECU,Goalkeeper,LDU de Quito,38,1987,1,1,90,98,12,58,98,18,21,39,46,0,0,0,0,0,0,0,5,6,37,98,94,98,50,5,50
Alexis Martin Arias,ARG,Goalkeeper,Cerro Porteño,33,1992,5,5,450,45,77,82,80,71,78,39,46,58,91,76,22,23,96,78,13,21,37,45,65,70,50,13,50
Alexis Villa,ECU,Goalkeeper,LDU de Quito,24,2001,1,0,14,98,0,0,100,18,21,39,46,0,99,99,56,0,98,39,5,6,37,98,99,0,50,5,0
Aljaž Ivačič,SVN,Goalkeeper,NE Revolution,31,1993,24,24,2160,40,49,44,68,65,73,39,46,49,30,40,16,12,79,31,22,25,37,40,11,32,50,22,50
Anatolii Trubin,UKR,Goalkeeper,Benfica,24,2001,7,7,630,95,7,21,92,18,21,39,46,6,15,18,10,28,68,11,17,42,37,95,55,93,50,17,50
Andre Blake,JAM,Goalkeeper,Philadelphia Union,34,1990,21,21,1827,83,16,22,79,47,58,39,46,26,63,33,34,20,20,12,25,72,37,83,16,72,50,25,50
Andrea Fulignati,ITA,Goalkeeper,Empoli,30,1994,9,9,810,23,78,73,12,87,90,39,46,78,65,66,87,27,4,63,34,24,37,23,43,35,50,34,50
Andreas Jungdal,DEN,Goalkeeper,Westerlo,23,2002,12,12,1080,25,53,34,68,43,21,88,46,70,81,72,71,32,7,49,47,80,85,25,27,16,50,47,50
Andrew,BRA,Goalkeeper,Gil Vicente FC,24,2001,9,9,775,95,9,22,96,77,64,95,46,10,61,65,69,64,74,38,84,78,93,95,50,87,50,84,50
