Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Defensive Actions Outside Penalty Area
Vic Chambaere,BEL,Goalkeeper,Union SG,22,2003,3,3,270,3,10,7,1,0,0,0,0,3.5,9,33,65,7,10,38,0,0
Colin Coosemans,BEL,Goalkeeper,Anderlecht,33,1992,12,12,1080,12,40,28,5,1,1,0,0,15.3,55,145,353,47,35,172,10,12
Ortwin De Wolf,BEL,Goalkeeper,Mechelen,28,1997,5,5,450,6,18,14,1,1,1,0,0,4.9,23,62,150,22,31,87,3,3
Maxime Delanghe,BEL,Goalkeeper,Cercle Brugge,24,2001,11,11,972,15,49,34,3,1,1,0,0,14.6,46,146,248,27,48,141,3,15
Martin Delavallée,BEL,Goalkeeper,Charleroi,21,2004,12,12,1080,17,38,22,2,3,3,0,0,11.8,77,207,334,68,61,218,10,15
Guillaume Dietsch,FRA,Goalkeeper,Dender,24,2001,3,3,270,6,20,14,0,0,0,0,0,5.1,20,49,67,17,23,65,4,6
Matthieu Epolo,BEL,Goalkeeper,Standard Liège,20,2005,12,12,1080,17,59,43,3,0,0,0,0,15.5,76,192,305,43,85,188,2,8
Brent Gabriël,BEL,Goalkeeper,Zulte Waregem,26,1999,12,12,1080,15,47,33,3,1,1,0,0,17.0,83,196,332,47,76,244,15,18
Nordin Jackers,BEL,Goalkeeper,Club Brugge,28,1997,11,11,990,10,40,30,6,1,1,0,0,9.6,62,138,361,50,49,137,5,13
Andreas Jungdal,DEN,Goalkeeper,Westerlo,23,2002,12,12,1080,21,52,31,4,1,0,1,0,19.0,71,189,349,40,43,165,8,20
Leo Kokubo,JPN,Goalkeeper,Sint-Truiden,24,2001,12,12,1080,16,52,37,2,2,2,0,0,18.3,44,138,315,52,62,146,13,19
Senne Lammens,BEL,Goalkeeper,Antwerp,23,2002,4,4,360,4,15,10,0,1,0,1,0,5.2,30,105,176,22,23,67,11,4
Tobias Lawal,AUT,Goalkeeper,Genk,25,2000,7,7,630,10,31,21,0,2,2,0,0,9.0,28,61,244,25,29,78,6,16
Tobe Leysen,BEL,Goalkeeper,OH Leuven,23,2002,12,12,1080,21,58,37,2,3,3,0,0,18.2,60,193,414,49,50,171,11,15
Simon Mignolet,BEL,Goalkeeper,Club Brugge,37,1988,1,1,90,1,9,8,0,0,0,0,0,1.3,4,9,41,3,5,12,0,0
Nacho Miras,ESP,Goalkeeper,Mechelen,28,1997,7,7,630,7,44,36,2,4,3,1,0,12.1,38,113,185,39,53,159,9,10
Taishi Nozawa,JPN,Goalkeeper,Antwerp,22,2002,3,3,270,3,10,7,0,0,0,0,0,2.6,17,45,86,12,12,31,4,3
Marcos Peano,ARG,Goalkeeper,La Louvière,27,1998,12,12,1080,10,52,42,6,2,1,0,1,16.0,102,275,359,44,84,208,16,29
