Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Line Index,Passes Index
AJ Marcucci,USA,Goalkeeper,NY Red Bulls,26,1999,2,2,180,50,47
Abu Kamara,ITA,Goalkeeper,Padova,28,1997,9,9,810,57,47
Adam Beaudry,USA,Goalkeeper,Colorado Rapids,19,2006,1,1,90,12,52
Agustín Marchesín,ARG,Goalkeeper,Boca Juniors,37,1988,25,25,2249,74,41
Agustín Rossi,ARG,Goalkeeper,Flamengo,30,1995,40,40,3630,84,37
Alan Aguerre,ARG,Goalkeeper,Cen. Córdoba–SdE,35,1990,33,33,2970,54,29
Aldair Quintana,COL,Goalkeeper,CA Bucaramanga,31,1994,6,6,540,42,54
Alec Smir,USA,Goalkeeper,Minnesota Utd,26,1999,2,1,161,32,49
Alessandro Confente,ITA,Goalkeeper,Juve Stabia,27,1998,9,9,810,53,53
Alex McCarthy,ENG,Goalkeeper,Southampton,35,1989,6,6,540,40,56
Alex Muralha,BRA,Goalkeeper,Mirassol,35,1989,7,7,630,40,31
Alex Palmer,ENG,Goalkeeper,Ipswich Town,29,1996,10,10,833,50,53
Alexander Domínguez,ECU,Goalkeeper,LDU de Quito,38,1987,1,1,90,82,10
Alexis Martin Arias,ARG,Goalkeeper,Cerro Porteño,33,1992,5,5,450,50,55
Alexis Villa,ECU,Goalkeeper,LDU de Quito,24,2001,1,0,14,59,61
Aljaž Ivačič,SVN,Goalkeeper,NE Revolution,31,1993,24,24,2160,38,28
Anatolii Trubin,UKR,Goalkeeper,Benfica,24,2001,7,7,630,79,24
Andre Blake,JAM,Goalkeeper,Philadelphia Union,34,1990,21,21,1827,69,46
Andrea Fulignati,ITA,Goalkeeper,Empoli,30,1994,9,9,810,30,59
Andreas Jungdal,DEN,Goalkeeper,Westerlo,23,2002,12,12,1080,32,63
Andrew,BRA,Goalkeeper,Gil Vicente FC,24,2001,9,9,775,86,61
Andrew Rick,USA,Goalkeeper,Philadelphia Union,19,2006,14,13,1233,38,45
Andrew Tarbell,USA,Goalkeeper,Houston Dynamo,32,1993,4,4,306,18,46
Andrew Thomas,RUS,Goalkeeper,Seattle Sounders,27,1998,8,8,720,27,32
Andries Noppert,NED,Goalkeeper,Heerenveen,31,1994,4,4,360,33,74
André Ferreira,POR,Goalkeeper,Moreirense,29,1996,1,1,90,27,62
André Gomes,POR,Goalkeeper,Alverca,21,2004,8,8,720,32,26
Andrés Desábato,ARG,Goalkeeper,Platense,35,1990,4,4,360,18,15
Andrés Gudiño,MEX,Goalkeeper,Cruz Azul,28,1997,1,1,90,52,60
Andrés Sánchez,MEX,Goalkeeper,Atlético,28,1997,15,15,1350,37,46
Anthoni,BRA,Goalkeeper,Internacional,23,2002,23,22,2025,34,26
Antonio Sánchez,MEX,Goalkeeper,Atlas,25,2000,1,1,90,14,20
Antony Iannarilli,ITA,Goalkeeper,Avellino,34,1990,9,9,810,34,47
Arthur Okonkwo,ENG,Goalkeeper,Wrexham,24,2001,9,8,721,51,49
Axel Werner,ARG,Goalkeeper,Rosario Central,29,1996,4,3,271,81,45
